block_index,avg_length
1.000000000000000000e+00,2.000000000000000000e+02
2.000000000000000000e+00,2.000000000000000000e+02
3.000000000000000000e+00,2.000000000000000000e+02
4.000000000000000000e+00,2.000000000000000000e+02
5.000000000000000000e+00,2.000000000000000000e+02
6.000000000000000000e+00,2.000000000000000000e+02
7.000000000000000000e+00,2.000000000000000000e+02
8.000000000000000000e+00,2.000000000000000000e+02
9.000000000000000000e+00,2.000000000000000000e+02
1.000000000000000000e+01,2.000000000000000000e+02
1.100000000000000000e+01,2.000000000000000000e+02
1.200000000000000000e+01,2.000000000000000000e+02
1.300000000000000000e+01,2.000000000000000000e+02
1.400000000000000000e+01,2.000000000000000000e+02
1.500000000000000000e+01,2.000000000000000000e+02
1.600000000000000000e+01,2.000000000000000000e+02
1.700000000000000000e+01,2.000000000000000000e+02
1.800000000000000000e+01,2.000000000000000000e+02
1.900000000000000000e+01,2.000000000000000000e+02
2.000000000000000000e+01,1.999133333333333269e+02
2.100000000000000000e+01,1.998833333333333258e+02
2.200000000000000000e+01,1.997833333333333599e+02
2.300000000000000000e+01,1.996500000000000057e+02
2.400000000000000000e+01,1.995933333333333337e+02
2.500000000000000000e+01,1.997900000000000205e+02
2.600000000000000000e+01,1.997466666666666697e+02
2.700000000000000000e+01,1.999933333333333394e+02
2.800000000000000000e+01,1.999000000000000057e+02
2.900000000000000000e+01,1.999633333333333098e+02
3.000000000000000000e+01,1.998166666666666629e+02
3.100000000000000000e+01,1.999633333333333098e+02
3.200000000000000000e+01,1.999300000000000068e+02
3.300000000000000000e+01,1.998766666666666936e+02
3.400000000000000000e+01,1.999566666666666492e+02
3.500000000000000000e+01,2.000000000000000000e+02
3.600000000000000000e+01,2.000000000000000000e+02
3.700000000000000000e+01,1.997500000000000000e+02
3.800000000000000000e+01,1.997400000000000091e+02
3.900000000000000000e+01,1.993133333333333326e+02
4.000000000000000000e+01,1.980833333333333144e+02
4.100000000000000000e+01,1.987966666666666811e+02
4.200000000000000000e+01,1.979399999999999977e+02
4.300000000000000000e+01,1.968633333333333724e+02
4.400000000000000000e+01,1.969966666666666697e+02
4.500000000000000000e+01,1.972933333333333508e+02
4.600000000000000000e+01,1.973133333333333326e+02
4.700000000000000000e+01,1.961366666666666845e+02
4.800000000000000000e+01,1.953266666666666538e+02
