#{"t_start": 1748827115.643996, "env_id": "MountainCar-v0"}
r,l,t
-200.0,200,0.007074
-200.0,200,0.012622
-200.0,200,0.018362
-200.0,200,0.023901
-200.0,200,0.029532
-200.0,200,0.100403
-200.0,200,0.170692
-200.0,200,0.241242
-200.0,200,0.311422
-200.0,200,0.381365
-200.0,200,0.453148
-200.0,200,0.524009
-200.0,200,0.594436
-200.0,200,0.66454
-200.0,200,0.734819
-200.0,200,0.80529
-200.0,200,0.876102
-200.0,200,0.946761
-200.0,200,1.018311
-200.0,200,1.088611
-200.0,200,1.159375
-200.0,200,1.231073
-200.0,200,1.302933
-200.0,200,1.374232
-200.0,200,1.445928
-200.0,200,1.5172
-200.0,200,1.588558
-200.0,200,1.659382
-200.0,200,1.730231
-200.0,200,1.801359
-200.0,200,1.873016
-200.0,200,1.944526
-200.0,200,2.016227
-200.0,200,2.087511
-200.0,200,2.159518
-200.0,200,2.231415
-200.0,200,2.303025
-200.0,200,2.375049
-200.0,200,2.447211
-200.0,200,2.519102
-200.0,200,2.590768
-200.0,200,2.6622
-200.0,200,2.733773
-200.0,200,2.805708
-200.0,200,2.878167
-200.0,200,2.951136
-200.0,200,3.023467
-200.0,200,3.096097
-200.0,200,3.168832
-200.0,200,3.241776
-200.0,200,3.315234
-200.0,200,3.38794
-200.0,200,3.461187
-200.0,200,3.533402
-200.0,200,3.605902
-200.0,200,3.678845
-200.0,200,3.751624
-200.0,200,3.82444
-200.0,200,3.897247
-200.0,200,3.969679
-200.0,200,4.042617
-200.0,200,4.115331
-200.0,200,4.188689
-200.0,200,4.261667
-200.0,200,4.334894
-200.0,200,4.407979
-200.0,200,4.480785
-200.0,200,4.554442
-200.0,200,4.627686
-200.0,200,4.700651
-200.0,200,4.77439
-200.0,200,4.848029
-200.0,200,4.92155
-200.0,200,4.994939
-200.0,200,5.068331
-200.0,200,5.141425
-200.0,200,5.214498
-200.0,200,5.288377
-200.0,200,5.361964
-200.0,200,5.435759
-200.0,200,5.509293
-200.0,200,5.583511
-200.0,200,5.657474
-200.0,200,5.731053
-200.0,200,5.804488
-200.0,200,5.878844
-200.0,200,5.952826
-200.0,200,6.027067
-200.0,200,6.1021
-200.0,200,6.20389
-200.0,200,6.302383
-200.0,200,6.385791
-200.0,200,6.469546
-200.0,200,6.551415
-200.0,200,6.652649
-200.0,200,6.727037
-200.0,200,6.801391
-200.0,200,6.876034
-200.0,200,6.951088
-200.0,200,7.02565
-200.0,200,7.100754
-200.0,200,7.175089
-200.0,200,7.249603
-200.0,200,7.324369
-200.0,200,7.399298
-200.0,200,7.473752
-200.0,200,7.54823
-200.0,200,7.626483
-200.0,200,7.712275
-200.0,200,7.788273
-200.0,200,7.864888
-200.0,200,7.939683
-200.0,200,8.014438
-200.0,200,8.089173
-200.0,200,8.164252
-200.0,200,8.239013
-200.0,200,8.313949
-200.0,200,8.389058
-200.0,200,8.464125
-200.0,200,8.539063
-200.0,200,8.614206
-200.0,200,8.689162
-200.0,200,8.764045
-200.0,200,8.839363
-200.0,200,8.914718
-200.0,200,8.99032
-200.0,200,9.06521
-200.0,200,9.14085
-200.0,200,9.216406
-200.0,200,9.292261
-200.0,200,9.367818
-200.0,200,9.443246
-200.0,200,9.519094
-200.0,200,9.594387
-200.0,200,9.670141
-200.0,200,9.745885
-200.0,200,9.822288
-200.0,200,9.898303
-200.0,200,9.974183
-200.0,200,10.050377
-200.0,200,10.126388
-200.0,200,10.202207
-200.0,200,10.285189
-200.0,200,10.384744
-200.0,200,10.489018
-200.0,200,10.575478
-200.0,200,10.661888
-200.0,200,10.771025
-200.0,200,10.849121
-200.0,200,10.92617
-200.0,200,11.003058
-200.0,200,11.079836
-200.0,200,11.156588
-200.0,200,11.233339
-200.0,200,11.309969
-200.0,200,11.386334
-200.0,200,11.46289
-200.0,200,11.539188
-200.0,200,11.615743
-200.0,200,11.692775
-200.0,200,11.769304
-200.0,200,11.845737
-200.0,200,11.922357
-200.0,200,11.999451
-200.0,200,12.076342
-200.0,200,12.153762
-200.0,200,12.230634
-200.0,200,12.313289
-200.0,200,12.419635
-200.0,200,12.518507
-200.0,200,12.603625
-200.0,200,12.713934
-200.0,200,12.820661
-200.0,200,12.900484
-200.0,200,12.982958
-200.0,200,13.062612
-200.0,200,13.140611
-200.0,200,13.21836
-200.0,200,13.295768
-200.0,200,13.372766
-200.0,200,13.450331
-200.0,200,13.527282
-200.0,200,13.604236
-200.0,200,13.68283
-200.0,200,13.759668
-200.0,200,13.8369
-200.0,200,13.913721
-200.0,200,13.990656
-200.0,200,14.068266
-200.0,200,14.145421
-200.0,200,14.222398
-200.0,200,14.298796
-200.0,200,14.375471
-200.0,200,14.451879
-200.0,200,14.528238
-200.0,200,14.612119
-200.0,200,14.689781
-200.0,200,14.766462
-200.0,200,14.843117
-200.0,200,14.919856
-200.0,200,14.996428
-200.0,200,15.073286
-200.0,200,15.149645
-200.0,200,15.225768
-200.0,200,15.302196
-200.0,200,15.378765
-200.0,200,15.457293
-200.0,200,15.534206
-200.0,200,15.610738
-200.0,200,15.68704
-200.0,200,15.763682
-200.0,200,15.839828
-200.0,200,15.916439
-200.0,200,15.992746
-200.0,200,16.070022
-200.0,200,16.146664
-200.0,200,16.224584
-200.0,200,16.301433
-200.0,200,16.377757
-200.0,200,16.454476
-200.0,200,16.531545
-200.0,200,16.608531
-200.0,200,16.685429
-200.0,200,16.762286
-200.0,200,16.839183
-200.0,200,16.916102
-200.0,200,16.992982
-200.0,200,17.069962
-200.0,200,17.146559
-200.0,200,17.223001
-200.0,200,17.299549
-200.0,200,17.375884
-200.0,200,17.452826
-200.0,200,17.529329
-200.0,200,17.607165
-200.0,200,17.684013
-200.0,200,17.760464
