#{"t_start": 1748827232.3557172, "env_id": "MountainCar-v0"}
r,l,t
-200.0,200,0.007384
-200.0,200,0.012842
-200.0,200,0.018599
-200.0,200,0.023964
-200.0,200,0.029352
-200.0,200,0.101578
-200.0,200,0.171702
-200.0,200,0.241813
-200.0,200,0.311883
-200.0,200,0.381549
-200.0,200,0.451242
-200.0,200,0.521148
-200.0,200,0.591186
-200.0,200,0.667545
-200.0,200,0.756561
-200.0,200,0.857744
-200.0,200,0.929462
-200.0,200,1.001657
-200.0,200,1.071983
-200.0,200,1.142698
-200.0,200,1.213373
-200.0,200,1.283603
-200.0,200,1.354595
-200.0,200,1.425334
-200.0,200,1.495473
-200.0,200,1.570517
-200.0,200,1.648718
-200.0,200,1.723933
-200.0,200,1.797656
-200.0,200,1.868956
-200.0,200,1.940683
-200.0,200,2.011413
-200.0,200,2.084475
-200.0,200,2.159854
-200.0,200,2.234208
-200.0,200,2.305808
-200.0,200,2.377553
-200.0,200,2.449418
-200.0,200,2.521218
-200.0,200,2.592732
-200.0,200,2.664713
-200.0,200,2.735775
-200.0,200,2.807932
-200.0,200,2.8789
-200.0,200,2.95036
-200.0,200,3.021603
-200.0,200,3.093238
-200.0,200,3.165566
-200.0,200,3.236998
-200.0,200,3.308946
-200.0,200,3.380994
-200.0,200,3.453042
-200.0,200,3.525166
-200.0,200,3.597022
-200.0,200,3.669032
-200.0,200,3.743203
-200.0,200,3.81683
-200.0,200,3.88906
-200.0,200,3.961255
-200.0,200,4.033654
-200.0,200,4.106112
-200.0,200,4.178343
-200.0,200,4.250596
-200.0,200,4.323155
-200.0,200,4.395279
-200.0,200,4.468073
-200.0,200,4.540276
-200.0,200,4.613204
-200.0,200,4.686087
-200.0,200,4.764079
-200.0,200,4.838152
-200.0,200,4.911539
-200.0,200,4.984604
-200.0,200,5.057602
-200.0,200,5.130069
-200.0,200,5.202863
-200.0,200,5.275309
-200.0,200,5.348759
-200.0,200,5.421656
-200.0,200,5.494659
-200.0,200,5.568044
-200.0,200,5.655599
-200.0,200,5.787525
-200.0,200,5.890788
-200.0,200,5.981005
-200.0,200,6.074088
-200.0,200,6.156317
-200.0,200,6.266253
-200.0,200,6.3409
-200.0,200,6.41493
-200.0,200,6.489659
-200.0,200,6.564262
-200.0,200,6.639451
-200.0,200,6.713754
-200.0,200,6.787697
-200.0,200,6.86211
-200.0,200,6.936325
-200.0,200,7.010631
-200.0,200,7.084594
-200.0,200,7.158776
-200.0,200,7.23319
-200.0,200,7.307231
-200.0,200,7.381794
-200.0,200,7.456162
-200.0,200,7.530481
-200.0,200,7.604874
-200.0,200,7.679295
-200.0,200,7.753876
-200.0,200,7.828488
-200.0,200,7.903652
-200.0,200,7.978872
-200.0,200,8.056512
-200.0,200,8.132729
-200.0,200,8.210493
-200.0,200,8.285848
-200.0,200,8.3607
-200.0,200,8.435477
-200.0,200,8.510929
-200.0,200,8.586565
-200.0,200,8.665622
-200.0,200,8.741681
-200.0,200,8.816923
-200.0,200,8.892584
-200.0,200,8.96813
-200.0,200,9.043684
-200.0,200,9.119757
-200.0,200,9.195103
-200.0,200,9.270607
-200.0,200,9.346302
-200.0,200,9.421777
-200.0,200,9.517021
-200.0,200,9.598631
-200.0,200,9.678889
-200.0,200,9.777844
-200.0,200,9.85519
-200.0,200,9.932374
