#{"t_start": 1748828518.7835782, "env_id": "MountainCar-v0"}
r,l,t
-200.0,200,0.007501
-200.0,200,0.013068
-200.0,200,0.018974
-200.0,200,0.024614
-200.0,200,0.030205
-200.0,200,0.101088
-200.0,200,0.171412
-200.0,200,0.241781
-200.0,200,0.312179
-200.0,200,0.382324
-200.0,200,0.452582
-200.0,200,0.523151
-200.0,200,0.593217
-200.0,200,0.66373
-200.0,200,0.735091
-200.0,200,0.805509
-200.0,200,0.875307
-200.0,200,0.945659
-200.0,200,1.015745
-200.0,200,1.087073
-200.0,200,1.157718
-200.0,200,1.228069
-200.0,200,1.29901
-200.0,200,1.369469
-200.0,200,1.44032
-200.0,200,1.511294
-200.0,200,1.58213
-200.0,200,1.652834
-200.0,200,1.723627
-200.0,200,1.794554
-200.0,200,1.865661
-200.0,200,1.936749
-200.0,200,2.00808
-200.0,200,2.079023
-200.0,200,2.150228
-200.0,200,2.221258
-200.0,200,2.293078
-200.0,200,2.365568
-200.0,200,2.436974
-200.0,200,2.508466
-200.0,200,2.740781
-200.0,200,2.826731
-200.0,200,2.90288
-200.0,200,2.975351
-200.0,200,3.047365
-200.0,200,3.119737
-200.0,200,3.191824
-200.0,200,3.263977
-200.0,200,3.336451
-200.0,200,3.409311
-200.0,200,3.482655
-200.0,200,3.555657
-200.0,200,3.628666
-200.0,200,3.701276
-200.0,200,3.77394
-200.0,200,3.847742
-200.0,200,3.920665
-200.0,200,3.994022
-200.0,200,4.066148
-200.0,200,4.139139
-200.0,200,4.212007
-200.0,200,4.284818
-200.0,200,4.357739
-200.0,200,4.430235
-200.0,200,4.502732
-200.0,200,4.576087
-200.0,200,4.648997
-200.0,200,4.721954
-200.0,200,4.794113
-200.0,200,4.86712
-200.0,200,4.9402
-200.0,200,5.014585
-200.0,200,5.087855
-200.0,200,5.161103
-200.0,200,5.234502
-200.0,200,5.307816
-200.0,200,5.380994
-200.0,200,5.453806
-200.0,200,5.526527
-200.0,200,5.599487
-200.0,200,5.673229
-200.0,200,5.747002
-200.0,200,5.820357
-200.0,200,5.893785
-200.0,200,5.9808
-200.0,200,6.127399
-200.0,200,6.261616
-200.0,200,6.343287
-200.0,200,6.425501
-200.0,200,6.506417
-200.0,200,6.617718
-200.0,200,6.692395
-200.0,200,6.766773
-200.0,200,6.840472
-200.0,200,6.914498
-200.0,200,6.98876
-200.0,200,7.062764
-200.0,200,7.138161
-200.0,200,7.212835
-200.0,200,7.28885
-200.0,200,7.363811
-200.0,200,7.437936
-200.0,200,7.512972
-200.0,200,7.587616
-200.0,200,7.662596
-200.0,200,7.737471
-200.0,200,7.812466
-200.0,200,7.887224
-200.0,200,7.962058
-200.0,200,8.037048
-200.0,200,8.112689
-200.0,200,8.187502
-200.0,200,8.262591
-200.0,200,8.337299
-200.0,200,8.412022
-200.0,200,8.486902
-200.0,200,8.561794
-200.0,200,8.636866
-200.0,200,8.711718
-200.0,200,8.786873
-200.0,200,8.861789
-200.0,200,8.937162
-200.0,200,9.012476
-200.0,200,9.087622
-200.0,200,9.162711
-200.0,200,9.239795
-200.0,200,9.315612
-200.0,200,9.391501
-200.0,200,9.467179
-200.0,200,9.543285
-200.0,200,9.619145
-200.0,200,9.69502
-200.0,200,9.770985
-200.0,200,9.847022
-200.0,200,9.923086
-200.0,200,9.998692
-200.0,200,10.074935
-200.0,200,10.151198
-200.0,200,10.227095
-200.0,200,10.303351
-200.0,200,10.379758
-200.0,200,10.455888
-200.0,200,10.532582
-200.0,200,10.609699
-200.0,200,10.686438
-200.0,200,10.762908
-200.0,200,10.83948
-200.0,200,10.916517
-200.0,200,10.993106
-200.0,200,11.073495
-200.0,200,11.160986
-200.0,200,11.279247
-200.0,200,11.36738
-200.0,200,11.451589
-200.0,200,11.535316
-200.0,200,11.638824
-200.0,200,11.716158
-200.0,200,11.793071
-200.0,200,11.869582
-200.0,200,11.946482
-200.0,200,12.023124
-200.0,200,12.099786
-200.0,200,12.176621
-200.0,200,12.253267
-200.0,200,12.329803
-200.0,200,12.406711
-200.0,200,12.483257
-200.0,200,12.560058
-200.0,200,12.636733
-200.0,200,12.713234
-200.0,200,12.790133
-200.0,200,12.86659
-200.0,200,12.943497
-200.0,200,13.020088
-200.0,200,13.096616
-200.0,200,13.173513
-200.0,200,13.24999
-200.0,200,13.326847
-200.0,200,13.403315
-200.0,200,13.480733
-200.0,200,13.557671
-200.0,200,13.638906
-200.0,200,13.716264
-200.0,200,13.793111
-200.0,200,13.872288
-200.0,200,13.949644
-200.0,200,14.026106
-200.0,200,14.102916
-200.0,200,14.179262
-200.0,200,14.255818
-200.0,200,14.332585
-200.0,200,14.409317
-200.0,200,14.486073
-200.0,200,14.562599
-200.0,200,14.638903
-200.0,200,14.71563
-200.0,200,14.792053
-200.0,200,14.86887
-200.0,200,14.94591
-200.0,200,15.022712
-200.0,200,15.099946
-200.0,200,15.17684
-200.0,200,15.253834
-200.0,200,15.330643
-200.0,200,15.407588
-200.0,200,15.484307
-200.0,200,15.560586
-200.0,200,15.637989
-200.0,200,15.714869
-200.0,200,15.791362
-200.0,200,15.887837
-200.0,200,16.041934
-200.0,200,16.136378
-200.0,200,16.219977
-200.0,200,16.301666
-200.0,200,16.40954
-200.0,200,16.48641
-200.0,200,16.562873
-200.0,200,16.639444
-200.0,200,16.715785
