#{"t_start": 1748828754.5565052, "env_id": "MountainCar-v0"}
r,l,t
-200.0,200,0.008044
-200.0,200,0.013661
-200.0,200,0.019499
-200.0,200,0.025033
-200.0,200,0.030593
-200.0,200,0.104747
-200.0,200,0.175176
-200.0,200,0.245734
-200.0,200,0.315695
-200.0,200,0.385985
-200.0,200,0.457375
-200.0,200,0.527504
-200.0,200,0.598678
-200.0,200,0.66922
-200.0,200,0.740671
-200.0,200,0.811579
-200.0,200,0.882198
-200.0,200,0.954312
-200.0,200,1.024985
-200.0,200,1.095891
-200.0,200,1.166873
-200.0,200,1.237516
-200.0,200,1.308362
-200.0,200,1.379175
-200.0,200,1.451593
-200.0,200,1.523418
-200.0,200,1.595046
-200.0,200,1.666256
-200.0,200,1.737226
-200.0,200,1.807665
-200.0,200,1.878987
-200.0,200,1.949802
-200.0,200,2.02128
-200.0,200,2.092879
-200.0,200,2.164105
-200.0,200,2.235248
-200.0,200,2.306651
-200.0,200,2.37804
-200.0,200,2.449343
-200.0,200,2.520715
-200.0,200,2.592529
-200.0,200,2.664028
-200.0,200,2.73605
-200.0,200,2.807879
-200.0,200,2.879394
-200.0,200,2.95164
-200.0,200,3.025981
-200.0,200,3.101667
-200.0,200,3.18172
-200.0,200,3.254781
-200.0,200,3.327934
-200.0,200,3.399872
-200.0,200,3.472502
-200.0,200,3.545726
-200.0,200,3.618243
-200.0,200,3.690434
-200.0,200,3.762969
-200.0,200,3.835829
-200.0,200,3.908417
-200.0,200,3.981122
-200.0,200,4.054049
-200.0,200,4.126769
-200.0,200,4.199922
-200.0,200,4.272631
-200.0,200,4.345747
-200.0,200,4.41914
-200.0,200,4.492247
-200.0,200,4.565663
-200.0,200,4.639271
-200.0,200,4.712417
-200.0,200,4.785616
-200.0,200,4.858657
-200.0,200,4.931836
-200.0,200,5.004775
-200.0,200,5.077197
-200.0,200,5.149987
-200.0,200,5.222248
-200.0,200,5.295763
-200.0,200,5.369074
-200.0,200,5.444986
-200.0,200,5.518219
-200.0,200,5.591653
-200.0,200,5.677661
-200.0,200,5.834932
-200.0,200,5.931386
-200.0,200,6.012985
-200.0,200,6.091459
-200.0,200,6.172606
-200.0,200,6.276008
-200.0,200,6.350613
-200.0,200,6.425555
-200.0,200,6.500322
-200.0,200,6.57476
-200.0,200,6.648936
-200.0,200,6.723185
-200.0,200,6.836103
-200.0,200,7.050093
-200.0,200,7.133172
-200.0,200,7.209814
-200.0,200,7.285214
-200.0,200,7.360633
-200.0,200,7.435567
-200.0,200,7.510972
-200.0,200,7.586133
-200.0,200,7.66124
-200.0,200,7.737138
-200.0,200,7.813934
-200.0,200,7.890371
-200.0,200,7.966927
-200.0,200,8.043016
-200.0,200,8.118847
-200.0,200,8.193797
-200.0,200,8.273338
-200.0,200,8.349669
-200.0,200,8.424828
-200.0,200,8.500478
-200.0,200,8.575775
-200.0,200,8.65187
-200.0,200,8.727431
-200.0,200,8.802719
-200.0,200,8.878269
-200.0,200,8.954064
-200.0,200,9.029921
-200.0,200,9.105475
-200.0,200,9.181428
-200.0,200,9.258445
-200.0,200,9.334995
-200.0,200,9.410973
-200.0,200,9.486554
-200.0,200,9.562916
-200.0,200,9.639232
-200.0,200,9.714616
-200.0,200,9.794347
-200.0,200,9.872144
-200.0,200,9.95113
-200.0,200,10.029838
-200.0,200,10.108367
-200.0,200,10.186714
-200.0,200,10.274577
-200.0,200,10.385697
-200.0,200,10.481927
-200.0,200,10.568476
-200.0,200,10.654365
-200.0,200,10.748112
-200.0,200,10.855492
-200.0,200,10.932671
-200.0,200,11.010251
-200.0,200,11.087821
-200.0,200,11.164787
-200.0,200,11.241537
-200.0,200,11.318439
-200.0,200,11.406836
-200.0,200,11.490817
-200.0,200,11.568704
-200.0,200,11.646203
-200.0,200,11.723374
-200.0,200,11.800313
-200.0,200,11.876983
-200.0,200,11.953778
-200.0,200,12.030382
-200.0,200,12.109424
-200.0,200,12.201658
-200.0,200,12.375594
-200.0,200,12.458684
-200.0,200,12.537268
-200.0,200,12.61597
-200.0,200,12.693064
-200.0,200,12.770567
-200.0,200,12.849055
-200.0,200,12.929851
-200.0,200,13.018917
-200.0,200,13.100331
-200.0,200,13.180915
-200.0,200,13.259429
-200.0,200,13.336773
-200.0,200,13.415555
-200.0,200,13.491937
-200.0,200,13.568818
-200.0,200,13.645512
-200.0,200,13.723606
-200.0,200,13.801155
-200.0,200,13.877935
-200.0,200,13.956114
-200.0,200,14.039285
-200.0,200,14.118475
-200.0,200,14.197764
-200.0,200,14.275525
-200.0,200,14.354151
-200.0,200,14.432409
-200.0,200,14.509484
-200.0,200,14.586543
-200.0,200,14.663377
-200.0,200,14.740327
-200.0,200,14.81703
-200.0,200,14.893636
-200.0,200,14.970856
-200.0,200,15.055864
-200.0,200,15.142918
-200.0,200,15.226075
-200.0,200,15.314465
-200.0,200,15.40356
-200.0,200,15.493423
-200.0,200,15.600847
-200.0,200,15.683903
-200.0,200,15.768773
-200.0,200,15.849193
-200.0,200,15.93337
-200.0,200,16.018153
-200.0,200,16.114083
-200.0,200,16.233026
-200.0,200,16.624857
-200.0,200,16.827591
-200.0,200,16.937147
-200.0,200,17.056944
-200.0,200,17.185652
-200.0,200,17.264401
-200.0,200,17.342695
-200.0,200,17.419573
-200.0,200,17.496732
-200.0,200,17.573751
-200.0,200,17.650527
-200.0,200,17.726848
-200.0,200,17.803583
-200.0,200,17.88055
-200.0,200,17.957074
-200.0,200,18.033649
-200.0,200,18.110089
-200.0,200,18.186475
-200.0,200,18.262907
-200.0,200,18.33927
-200.0,200,18.415711
-200.0,200,18.497027
-200.0,200,18.575817
-200.0,200,18.652572
-200.0,200,18.728969
-200.0,200,18.805767
-200.0,200,18.882219
-200.0,200,18.959104
-200.0,200,19.035795
-200.0,200,19.112309
-200.0,200,19.189024
-200.0,200,19.265585
-200.0,200,19.342393
-200.0,200,19.418964
-200.0,200,19.495539
-200.0,200,19.572561
-200.0,200,19.649046
-200.0,200,19.725828
-200.0,200,19.802523
-200.0,200,19.87897
-200.0,200,19.956532
-200.0,200,20.033277
-200.0,200,20.110115
-200.0,200,20.186623
-200.0,200,20.263734
-200.0,200,20.340671
-200.0,200,20.417433
-200.0,200,20.494434
-200.0,200,20.57226
-200.0,200,20.649564
-200.0,200,20.726801
-200.0,200,20.803926
-200.0,200,20.880857
-200.0,200,20.957589
-200.0,200,21.034319
-200.0,200,21.111218
-200.0,200,21.18805
-200.0,200,21.264858
-200.0,200,21.341448
-200.0,200,21.418109
-200.0,200,21.494814
