#{"t_start": 1748827699.594156, "env_id": "MountainCar-v0"}
r,l,t
-200.0,200,0.007753
-200.0,200,0.013322
-200.0,200,0.019062
-200.0,200,0.02463
-200.0,200,0.030214
-200.0,200,0.101761
-200.0,200,0.172223
-200.0,200,0.242944
-200.0,200,0.314596
-200.0,200,0.434637
-200.0,200,0.517863
-200.0,200,0.592313
-200.0,200,0.673285
-200.0,200,0.747395
-200.0,200,0.818237
-200.0,200,0.889474
-200.0,200,0.961272
-200.0,200,1.032326
-200.0,200,1.103186
-200.0,200,1.173532
-200.0,200,1.244425
-200.0,200,1.315367
-200.0,200,1.386174
-200.0,200,1.458081
-200.0,200,1.529141
-200.0,200,1.600623
-200.0,200,1.705721
-200.0,200,1.778073
-200.0,200,1.849688
-200.0,200,1.920904
-200.0,200,1.992497
-200.0,200,2.067437
-200.0,200,2.139848
-200.0,200,2.211568
-200.0,200,2.283055
-200.0,200,2.35442
-200.0,200,2.425302
-200.0,200,2.497028
-200.0,200,2.572201
-200.0,200,2.643859
-200.0,200,2.71553
-200.0,200,2.786881
-200.0,200,2.858873
-200.0,200,2.930514
-200.0,200,3.002492
-200.0,200,3.074793
-200.0,200,3.146606
-200.0,200,3.218926
-200.0,200,3.294613
-200.0,200,3.371028
-200.0,200,3.454163
-200.0,200,3.529053
-200.0,200,3.605637
-200.0,200,3.680586
-200.0,200,3.755225
-200.0,200,3.828553
-200.0,200,3.901436
-200.0,200,3.974664
-200.0,200,4.047009
-200.0,200,4.119491
-200.0,200,4.192556
-200.0,200,4.264847
-200.0,200,4.338093
-200.0,200,4.410665
-200.0,200,4.483131
-200.0,200,4.556324
-200.0,200,4.629347
-200.0,200,4.702412
-200.0,200,4.775219
-200.0,200,4.848478
-200.0,200,4.92235
-200.0,200,4.995967
-200.0,200,5.073064
-200.0,200,5.148952
-200.0,200,5.22245
-200.0,200,5.296125
-200.0,200,5.369301
-200.0,200,5.442639
-200.0,200,5.51563
-200.0,200,5.589111
-200.0,200,5.662194
-200.0,200,5.735692
-200.0,200,5.80886
-200.0,200,5.882319
-200.0,200,5.965034
-200.0,200,6.079036
-200.0,200,6.1647
-200.0,200,6.247965
-200.0,200,6.333963
-200.0,200,6.446982
-200.0,200,6.559259
-200.0,200,6.638255
-200.0,200,6.71975
-200.0,200,6.799749
-200.0,200,6.875541
-200.0,200,6.957346
-200.0,200,7.039345
-200.0,200,7.116017
-200.0,200,7.19611
-200.0,200,7.275452
-200.0,200,7.355956
-200.0,200,7.43419
-200.0,200,7.512651
-200.0,200,7.59046
-200.0,200,7.665379
-200.0,200,7.740031
-200.0,200,7.815007
-200.0,200,7.890126
-200.0,200,7.964741
-200.0,200,8.039468
-200.0,200,8.115281
-200.0,200,8.190608
-200.0,200,8.266697
-200.0,200,8.342409
-200.0,200,8.41745
-200.0,200,8.492863
-200.0,200,8.568368
-200.0,200,8.643867
-200.0,200,8.719446
-200.0,200,8.794686
-200.0,200,8.870013
-200.0,200,8.947167
-200.0,200,9.023504
-200.0,200,9.099126
-200.0,200,9.174618
-200.0,200,9.250666
-200.0,200,9.326288
-200.0,200,9.402266
-200.0,200,9.479738
-200.0,200,9.556169
-200.0,200,9.632483
-200.0,200,9.709005
-200.0,200,9.786798
-200.0,200,9.868746
-200.0,200,9.945125
-200.0,200,10.021851
-200.0,200,10.09808
-200.0,200,10.174935
-200.0,200,10.252166
-200.0,200,10.328695
-200.0,200,10.405443
-200.0,200,10.484801
-200.0,200,10.621431
-200.0,200,10.747853
-200.0,200,10.836287
-200.0,200,10.922628
-200.0,200,11.023547
-200.0,200,11.147437
-200.0,200,11.227875
-200.0,200,11.305594
-200.0,200,11.383312
-200.0,200,11.459893
-200.0,200,11.536596
-200.0,200,11.613147
-200.0,200,11.689547
-200.0,200,11.766237
-200.0,200,11.843082
-200.0,200,11.92239
-200.0,200,12.000326
-200.0,200,12.077167
-200.0,200,12.154102
-200.0,200,12.230869
-200.0,200,12.307838
-200.0,200,12.384471
-200.0,200,12.461175
-200.0,200,12.537748
-200.0,200,12.614573
-200.0,200,12.691328
-200.0,200,12.767897
-200.0,200,12.844549
-200.0,200,12.921433
-200.0,200,12.997873
-200.0,200,13.07444
-200.0,200,13.155719
-200.0,200,13.242851
-200.0,200,13.32152
-200.0,200,13.399772
-200.0,200,13.477798
-200.0,200,13.555215
-200.0,200,13.632173
-200.0,200,13.709283
-200.0,200,13.786086
-200.0,200,13.863139
-200.0,200,13.940005
-200.0,200,14.016937
-200.0,200,14.093699
-200.0,200,14.170803
-200.0,200,14.24784
-200.0,200,14.324846
-200.0,200,14.401556
-200.0,200,14.478705
-200.0,200,14.556155
-200.0,200,14.633721
-200.0,200,14.711126
-200.0,200,14.788664
-200.0,200,14.866172
-200.0,200,14.943552
-200.0,200,15.021173
-200.0,200,15.098684
-200.0,200,15.175086
-200.0,200,15.252159
-200.0,200,15.330101
-200.0,200,15.40714
-200.0,200,15.483635
-200.0,200,15.560298
-200.0,200,15.636997
-200.0,200,15.713262
-200.0,200,15.789991
-200.0,200,15.866282
-200.0,200,15.942666
-200.0,200,16.019415
-200.0,200,16.095923
-200.0,200,16.1726
-200.0,200,16.249079
-200.0,200,16.327913
-200.0,200,16.416211
-200.0,200,16.533986
-200.0,200,16.620186
-200.0,200,16.706508
-200.0,200,16.793624
-200.0,200,16.896608
-200.0,200,16.973911
-200.0,200,17.050941
-200.0,200,17.127768
-200.0,200,17.204384
-200.0,200,17.281153
-200.0,200,17.357838
-200.0,200,17.437185
-200.0,200,17.513714
-200.0,200,17.590463
-200.0,200,17.667269
-200.0,200,17.743869
-200.0,200,17.820554
-200.0,200,17.897112
-200.0,200,17.973623
-200.0,200,18.050413
-200.0,200,18.126745
-200.0,200,18.203204
-178.0,178,18.271296
-200.0,200,18.347747
-200.0,200,18.424935
-200.0,200,18.501852
-200.0,200,18.579216
-200.0,200,18.656326
-200.0,200,18.733075
-200.0,200,18.810462
-200.0,200,18.887579
-200.0,200,18.964488
-200.0,200,19.040974
-200.0,200,19.117447
-200.0,200,19.193976
-200.0,200,19.270293
-200.0,200,19.34685
-200.0,200,19.423023
-200.0,200,19.500494
-200.0,200,19.577844
-200.0,200,19.656066
-200.0,200,19.733094
-200.0,200,19.809546
-200.0,200,19.885832
-200.0,200,19.962848
-200.0,200,20.039309
-200.0,200,20.115762
-200.0,200,20.192168
-200.0,200,20.268414
-200.0,200,20.344963
-200.0,200,20.421307
-200.0,200,20.499121
-200.0,200,20.575766
-200.0,200,20.651966
-200.0,200,20.728354
-200.0,200,20.804318
-200.0,200,20.880633
-200.0,200,20.956735
-200.0,200,21.032759
-200.0,200,21.109049
-200.0,200,21.184918
-200.0,200,21.261162
-200.0,200,21.337169
-200.0,200,21.413166
-200.0,200,21.490425
-200.0,200,21.566631
-200.0,200,21.643791
-200.0,200,21.720558
-200.0,200,21.797208
-200.0,200,21.873826
-200.0,200,21.950164
-200.0,200,22.026907
-200.0,200,22.103234
-200.0,200,22.179518
-200.0,200,22.25646
-200.0,200,22.332632
-200.0,200,22.409321
-200.0,200,22.486155
-200.0,200,22.562935
-200.0,200,22.640122
-200.0,200,22.717156
-200.0,200,22.794498
-200.0,200,22.871501
-200.0,200,22.951487
-200.0,200,23.038917
-200.0,200,23.118579
-200.0,200,23.197789
-200.0,200,23.276447
-200.0,200,23.353266
-200.0,200,23.430012
-200.0,200,23.506738
-200.0,200,23.583442
-200.0,200,23.660121
-200.0,200,23.736602
-200.0,200,23.815165
-200.0,200,23.89195
-200.0,200,23.968667
-200.0,200,24.046219
-200.0,200,24.127141
-200.0,200,24.20599
-200.0,200,24.283916
-200.0,200,24.360817
-200.0,200,24.437377
-200.0,200,24.513894
-200.0,200,24.590759
-200.0,200,24.667163
-200.0,200,24.743806
-200.0,200,24.820447
-200.0,200,24.896841
-200.0,200,24.973507
-183.0,183,25.043232
-200.0,200,25.119898
-200.0,200,25.196313
-200.0,200,25.273065
-200.0,200,25.349692
-200.0,200,25.425705
-200.0,200,25.502264
-200.0,200,25.578788
-200.0,200,25.655509
-200.0,200,25.732205
-200.0,200,25.808766
-200.0,200,25.920258
-200.0,200,26.111099
-200.0,200,26.200137
-200.0,200,26.285516
-200.0,200,26.371937
-200.0,200,26.48257
-200.0,200,26.560309
-200.0,200,26.6372
-200.0,200,26.713804
-200.0,200,26.790321
-200.0,200,26.867068
-200.0,200,26.943477
-200.0,200,27.019812
-200.0,200,27.096421
-200.0,200,27.17315
-200.0,200,27.249637
-200.0,200,27.326196
-200.0,200,27.402887
-200.0,200,27.479695
-200.0,200,27.55655
-200.0,200,27.633657
-200.0,200,27.710511
-200.0,200,27.787397
-200.0,200,27.864575
-200.0,200,27.941385
-200.0,200,28.019336
-200.0,200,28.097069
-200.0,200,28.173667
-200.0,200,28.250193
-200.0,200,28.326794
-200.0,200,28.403556
-200.0,200,28.479799
-200.0,200,28.556374
-200.0,200,28.632943
-200.0,200,28.708997
-200.0,200,28.785554
-200.0,200,28.861988
-200.0,200,28.938245
-200.0,200,29.014526
-200.0,200,29.090804
-200.0,200,29.167506
-200.0,200,29.243995
-200.0,200,29.320099
-200.0,200,29.398803
-200.0,200,29.477856
-200.0,200,29.556113
-200.0,200,29.632851
-200.0,200,29.709613
-200.0,200,29.786555
-200.0,200,29.863309
-200.0,200,29.940162
-200.0,200,30.016809
-200.0,200,30.09792
-200.0,200,30.185172
-200.0,200,30.289771
-200.0,200,30.369951
-200.0,200,30.448596
-200.0,200,30.526075
-200.0,200,30.603628
-200.0,200,30.680728
-200.0,200,30.759253
-200.0,200,30.837056
-200.0,200,30.914488
-200.0,200,30.992252
-200.0,200,31.069151
-200.0,200,31.146059
-200.0,200,31.222651
-200.0,200,31.299326
-200.0,200,31.376327
-200.0,200,31.453542
-200.0,200,31.530713
-200.0,200,31.607675
-200.0,200,31.684539
-200.0,200,31.761425
-200.0,200,31.838288
-200.0,200,31.915564
-200.0,200,31.992457
-200.0,200,32.069329
-200.0,200,32.146459
-200.0,200,32.223437
-200.0,200,32.302695
-200.0,200,32.380069
-200.0,200,32.457013
-200.0,200,32.534061
-200.0,200,32.610878
-200.0,200,32.688061
-200.0,200,32.764683
-200.0,200,32.841801
-200.0,200,32.919056
-200.0,200,32.995716
-200.0,200,33.072549
-200.0,200,33.149159
-200.0,200,33.22577
-172.0,172,33.292034
-200.0,200,33.368982
-200.0,200,33.446678
-200.0,200,33.524147
-200.0,200,33.601473
-154.0,154,33.662561
-200.0,200,33.746913
-200.0,200,33.831901
-200.0,200,33.917407
-200.0,200,33.997802
-200.0,200,34.083088
-200.0,200,34.17026
-200.0,200,34.250232
-200.0,200,34.329392
-200.0,200,34.408761
-200.0,200,34.486351
-200.0,200,34.563232
-200.0,200,34.640092
-200.0,200,34.740388
-200.0,200,34.821387
-200.0,200,34.899052
-194.0,194,34.976488
-200.0,200,35.05959
-200.0,200,35.13841
-177.0,177,35.206667
-200.0,200,35.283348
-200.0,200,35.360163
-200.0,200,35.436679
-200.0,200,35.513435
-200.0,200,35.590087
-200.0,200,35.666804
-200.0,200,35.743276
-200.0,200,35.819802
-200.0,200,35.896441
-200.0,200,35.973664
-200.0,200,36.050634
-175.0,175,36.117621
-161.0,161,36.179338
-156.0,156,36.239245
-151.0,151,36.297028
-200.0,200,36.373695
-200.0,200,36.450247
-150.0,150,36.50733
-200.0,200,36.58523
-200.0,200,36.662499
-200.0,200,36.738923
-200.0,200,36.81592
-200.0,200,36.892453
-169.0,169,36.95707
-200.0,200,37.033799
-200.0,200,37.110408
-200.0,200,37.187225
-200.0,200,37.263798
-192.0,192,37.337763
-171.0,171,37.403967
-157.0,157,37.464433
-200.0,200,37.541381
-200.0,200,37.61871
-200.0,200,37.69571
-200.0,200,37.772899
-200.0,200,37.850191
-200.0,200,37.92711
-160.0,160,37.988553
-198.0,198,38.064402
-200.0,200,38.141018
-174.0,174,38.20796
-181.0,181,38.277328
-157.0,157,38.337426
-200.0,200,38.413957
-200.0,200,38.490457
-200.0,200,38.567267
-200.0,200,38.644389
-200.0,200,38.722587
-200.0,200,38.799348
-200.0,200,38.876095
-170.0,170,38.941274
-200.0,200,39.017685
-200.0,200,39.107755
-200.0,200,39.185077
-200.0,200,39.261679
-200.0,200,39.338403
-134.0,134,39.389729
-200.0,200,39.466205
-165.0,165,39.529458
-200.0,200,39.606062
-200.0,200,39.68257
-200.0,200,39.759293
-185.0,185,39.830079
-200.0,200,39.906574
-200.0,200,39.984044
-164.0,164,40.047044
-200.0,200,40.123626
-200.0,200,40.200126
-200.0,200,40.276754
-200.0,200,40.353233
-200.0,200,40.429515
-200.0,200,40.512285
-178.0,178,40.583134
-200.0,200,40.66158
-200.0,200,40.740134
-200.0,200,40.817846
-142.0,142,40.872557
-200.0,200,40.949284
-148.0,148,41.00584
-175.0,175,41.07308
-200.0,200,41.149467
-162.0,162,41.211267
-145.0,145,41.2671
-181.0,181,41.386869
-200.0,200,41.464797
-145.0,145,41.52111
-144.0,144,41.576447
-145.0,145,41.631946
-200.0,200,41.708728
-144.0,144,41.870707
-113.0,113,41.916951
-170.0,170,41.984404
-151.0,151,42.043895
-93.0,93,42.079931
-89.0,89,42.114487
-161.0,161,42.177444
-107.0,107,42.218827
-94.0,94,42.255188
-142.0,142,42.309589
-170.0,170,42.375102
-200.0,200,42.452705
-161.0,161,42.515245
-159.0,159,42.576543
-157.0,157,42.636752
-154.0,154,42.695756
-142.0,142,42.770259
-93.0,93,42.807879
-93.0,93,42.844545
-89.0,89,42.880137
-147.0,147,42.939602
-139.0,139,42.993941
-180.0,180,43.063135
-93.0,93,43.098735
-85.0,85,43.131389
-85.0,85,43.164166
-186.0,186,43.235467
-87.0,87,43.268917
-142.0,142,43.323064
-95.0,95,43.359753
-90.0,90,43.394222
-174.0,174,43.460992
-140.0,140,43.514422
-136.0,136,43.566624
-143.0,143,43.621359
-90.0,90,43.655757
-85.0,85,43.688395
-88.0,88,43.722116
-94.0,94,43.758272
-155.0,155,43.817696
-136.0,136,43.869667
-141.0,141,43.923631
-142.0,142,43.98013
-192.0,192,44.054397
-145.0,145,44.109921
-87.0,87,44.143417
-83.0,83,44.17526
-146.0,146,44.230743
-139.0,139,44.283756
-148.0,148,44.340564
-138.0,138,44.393244
-144.0,144,44.447987
-151.0,151,44.50575
-94.0,94,44.541685
-92.0,92,44.576724
-147.0,147,44.632863
-87.0,87,44.666118
-141.0,141,44.720107
-165.0,165,44.783261
-99.0,99,44.821341
-163.0,163,44.884353
-196.0,196,44.960255
-136.0,136,45.012339
-143.0,143,45.068993
-139.0,139,45.122918
-140.0,140,45.176968
-157.0,157,45.237552
-110.0,110,45.280231
-140.0,140,45.334361
-96.0,96,45.371322
-200.0,200,45.44798
-147.0,147,45.504476
-141.0,141,45.558635
-141.0,141,45.612586
-153.0,153,45.671548
-153.0,153,45.730133
