#{"t_start": 1748825815.208766, "env_id": "MountainCar-v0"}
r,l,t
-200.0,200,0.007684
-200.0,200,0.013248
-200.0,200,0.018967
-200.0,200,0.02444
-200.0,200,0.029941
-200.0,200,0.105596
-200.0,200,0.17623
-200.0,200,0.251119
-200.0,200,0.321551
-200.0,200,0.391943
-200.0,200,0.462286
-200.0,200,0.532918
-200.0,200,0.604063
-200.0,200,0.674802
-200.0,200,0.745088
-200.0,200,0.815423
-200.0,200,0.886613
-200.0,200,0.957197
-200.0,200,1.027597
-200.0,200,1.097482
-200.0,200,1.171676
-200.0,200,1.250983
-200.0,200,1.33299
-200.0,200,1.404562
-200.0,200,1.476524
-200.0,200,1.547696
-200.0,200,1.617924
-200.0,200,1.688427
-200.0,200,1.759163
-200.0,200,1.829396
-200.0,200,1.900178
-200.0,200,1.970817
-200.0,200,2.04197
-200.0,200,2.112967
-200.0,200,2.183893
-200.0,200,2.254451
-200.0,200,2.325547
-200.0,200,2.396387
-200.0,200,2.46684
-200.0,200,2.537493
-200.0,200,2.608669
-200.0,200,2.679491
-200.0,200,2.750446
-200.0,200,2.821597
-200.0,200,2.892108
-200.0,200,2.963183
-200.0,200,3.034104
-200.0,200,3.105953
-200.0,200,3.177148
-200.0,200,3.24824
-200.0,200,3.319694
-200.0,200,3.390878
-200.0,200,3.46327
-200.0,200,3.535346
-200.0,200,3.607623
-200.0,200,3.679765
-200.0,200,3.751804
-200.0,200,3.823952
-200.0,200,3.895741
-200.0,200,3.967706
-200.0,200,4.039239
-200.0,200,4.111893
-200.0,200,4.185088
-200.0,200,4.258105
-200.0,200,4.334082
-200.0,200,4.408866
-200.0,200,4.4816
-200.0,200,4.554925
-200.0,200,4.627315
-200.0,200,4.699922
-200.0,200,4.772689
-200.0,200,4.845238
-200.0,200,4.917831
-200.0,200,4.990523
-200.0,200,5.063593
-200.0,200,5.136696
-200.0,200,5.209847
-200.0,200,5.282877
-200.0,200,5.355831
-200.0,200,5.429126
-200.0,200,5.502322
-200.0,200,5.576628
-200.0,200,5.650801
-200.0,200,5.725171
-200.0,200,5.798426
-200.0,200,5.873393
-200.0,200,5.952405
-200.0,200,6.058673
-200.0,200,6.149887
-200.0,200,6.396381
-200.0,200,6.486616
-200.0,200,6.575603
-200.0,200,6.689149
-200.0,200,6.763589
-200.0,200,6.837605
-200.0,200,6.912199
-200.0,200,6.98663
-200.0,200,7.060452
