#{"t_start": 1748828403.085939, "env_id": "MountainCar-v0"}
r,l,t
-200.0,200,0.007664
-200.0,200,0.013152
-200.0,200,0.018732
-200.0,200,0.024097
-200.0,200,0.029401
-200.0,200,0.102236
-200.0,200,0.17251
-200.0,200,0.242429
-200.0,200,0.3122
-200.0,200,0.3817
-200.0,200,0.451862
-200.0,200,0.521708
-200.0,200,0.591912
-200.0,200,0.663287
-200.0,200,0.734611
-200.0,200,0.804914
-200.0,200,0.874866
-200.0,200,0.945906
-200.0,200,1.016371
-200.0,200,1.086631
-200.0,200,1.157311
-200.0,200,1.227936
-200.0,200,1.298357
-200.0,200,1.369047
-200.0,200,1.43932
-200.0,200,1.510386
-200.0,200,1.58084
-200.0,200,1.652084
-200.0,200,1.722924
-200.0,200,1.795934
-200.0,200,1.87583
-200.0,200,1.94719
-200.0,200,2.018702
-200.0,200,2.089919
-200.0,200,2.171466
-200.0,200,2.243091
-200.0,200,2.339161
-200.0,200,2.411428
-200.0,200,2.483274
-200.0,200,2.555372
-200.0,200,2.627596
-200.0,200,2.699403
-200.0,200,2.771574
-200.0,200,2.84361
-200.0,200,2.915294
-200.0,200,2.988015
-200.0,200,3.059848
-200.0,200,3.132294
-200.0,200,3.204459
-200.0,200,3.276709
-200.0,200,3.34911
-200.0,200,3.421366
-200.0,200,3.493848
-200.0,200,3.566683
-200.0,200,3.640838
-200.0,200,3.713374
-200.0,200,3.785566
-200.0,200,3.858878
-200.0,200,3.931547
-200.0,200,4.004419
-200.0,200,4.077388
-200.0,200,4.14996
-200.0,200,4.223194
-200.0,200,4.296348
-200.0,200,4.369412
-200.0,200,4.442347
-200.0,200,4.515279
-200.0,200,4.588913
-200.0,200,4.662348
-200.0,200,4.735799
-200.0,200,4.809107
-200.0,200,4.882265
-200.0,200,4.955268
-200.0,200,5.02911
-200.0,200,5.102311
-200.0,200,5.175834
-200.0,200,5.249523
-200.0,200,5.32577
-200.0,200,5.407998
-200.0,200,5.483402
-200.0,200,5.558049
-200.0,200,5.632178
-200.0,200,5.706242
-200.0,200,5.781052
-200.0,200,5.854574
-200.0,200,5.928495
-200.0,200,6.002058
-200.0,200,6.075981
-200.0,200,6.149925
-200.0,200,6.223817
-200.0,200,6.297192
-200.0,200,6.371786
-200.0,200,6.45057
-200.0,200,6.544693
-200.0,200,6.657064
-200.0,200,6.749645
-200.0,200,6.847477
-200.0,200,6.93148
-200.0,200,7.043463
-200.0,200,7.118721
-200.0,200,7.194086
-200.0,200,7.26865
-200.0,200,7.343251
-200.0,200,7.417933
-200.0,200,7.492122
-200.0,200,7.566858
-200.0,200,7.640963
-200.0,200,7.715234
-200.0,200,7.789889
-200.0,200,7.864741
-200.0,200,7.939632
-200.0,200,8.014555
-200.0,200,8.089657
-200.0,200,8.164514
-200.0,200,8.239104
-200.0,200,8.313905
-200.0,200,8.388755
-200.0,200,8.463807
-200.0,200,8.538608
-200.0,200,8.612878
-200.0,200,8.687972
-200.0,200,8.762845
-200.0,200,8.838277
-200.0,200,8.913307
-200.0,200,8.988381
-200.0,200,9.064019
-200.0,200,9.13906
-200.0,200,9.214431
-200.0,200,9.289384
-200.0,200,9.364588
-200.0,200,9.440319
-200.0,200,9.5155
-200.0,200,9.591038
-200.0,200,9.666491
-200.0,200,9.742225
-200.0,200,9.818114
-200.0,200,9.894392
-200.0,200,9.970716
-200.0,200,10.047886
-200.0,200,10.124013
-200.0,200,10.200123
-200.0,200,10.276184
-200.0,200,10.3525
-200.0,200,10.428915
-200.0,200,10.505084
-200.0,200,10.582322
-200.0,200,10.65866
-200.0,200,10.735022
-200.0,200,10.811091
-200.0,200,10.887241
-200.0,200,10.963623
-200.0,200,11.054971
-200.0,200,11.164352
-200.0,200,11.259543
-200.0,200,11.343866
-200.0,200,11.427803
-200.0,200,11.535035
-200.0,200,11.612018
-200.0,200,11.688201
-200.0,200,11.764992
-200.0,200,11.841625
-200.0,200,11.917965
-200.0,200,11.994848
-200.0,200,12.071357
-200.0,200,12.149311
-200.0,200,12.22614
-200.0,200,12.302757
-200.0,200,12.379313
-200.0,200,12.455806
-200.0,200,12.532262
-200.0,200,12.608875
-200.0,200,12.685001
-200.0,200,12.761596
-200.0,200,12.838006
-200.0,200,12.914102
-200.0,200,12.99047
-200.0,200,13.066751
-200.0,200,13.143188
-200.0,200,13.219404
-200.0,200,13.295842
-200.0,200,13.372516
-200.0,200,13.448793
-200.0,200,13.525204
-200.0,200,13.601807
-200.0,200,13.678018
-200.0,200,13.754361
-200.0,200,13.830776
-200.0,200,13.907147
-200.0,200,13.983418
-200.0,200,14.059881
-200.0,200,14.136509
-200.0,200,14.212973
-200.0,200,14.291036
-200.0,200,14.368169
-200.0,200,14.445074
-200.0,200,14.522129
-200.0,200,14.598791
-200.0,200,14.675858
-200.0,200,14.752835
-200.0,200,14.829883
-200.0,200,14.906893
-200.0,200,14.983623
-200.0,200,15.060419
-200.0,200,15.136898
-200.0,200,15.213267
-200.0,200,15.289792
-200.0,200,15.366137
-200.0,200,15.442925
-200.0,200,15.519397
-200.0,200,15.596004
-200.0,200,15.672638
-200.0,200,15.749015
-200.0,200,15.825582
-200.0,200,15.901867
-200.0,200,15.978323
-200.0,200,16.054915
-200.0,200,16.131474
-200.0,200,16.20808
-200.0,200,16.284497
-200.0,200,16.360779
-200.0,200,16.438585
-200.0,200,16.514916
-200.0,200,16.591762
-200.0,200,16.668424
-200.0,200,16.745224
-200.0,200,16.821934
-200.0,200,16.908593
-200.0,200,17.010846
-200.0,200,17.10703
-200.0,200,17.19287
-200.0,200,17.278983
-200.0,200,17.38726
-200.0,200,17.464505
-200.0,200,17.540602
-200.0,200,17.616341
-200.0,200,17.692489
-200.0,200,17.768587
-200.0,200,17.844829
-200.0,200,17.921224
-200.0,200,17.998829
-200.0,200,18.075905
