#{"t_start": 1748828286.1235158, "env_id": "MountainCar-v0"}
r,l,t
-200.0,200,0.007394
-200.0,200,0.012779
-200.0,200,0.018332
-200.0,200,0.02373
-200.0,200,0.029189
-200.0,200,0.101547
-200.0,200,0.171494
-200.0,200,0.241453
-200.0,200,0.3114
-200.0,200,0.381055
-200.0,200,0.451681
-200.0,200,0.522048
-200.0,200,0.592057
-200.0,200,0.661973
-200.0,200,0.733038
-200.0,200,0.811191
-200.0,200,0.890076
-200.0,200,0.96257
-200.0,200,1.033353
-200.0,200,1.104099
-200.0,200,1.174879
-200.0,200,1.245431
-200.0,200,1.316334
-200.0,200,1.38768
-200.0,200,1.458839
-200.0,200,1.52953
-200.0,200,1.600322
-200.0,200,1.671383
-200.0,200,1.742757
-200.0,200,1.814513
-200.0,200,1.886121
-200.0,200,1.957368
-200.0,200,2.028655
-200.0,200,2.100161
-200.0,200,2.170975
-200.0,200,2.242709
-200.0,200,2.314406
-200.0,200,2.385837
-200.0,200,2.457045
-200.0,200,2.528273
-200.0,200,2.599701
-200.0,200,2.671185
-200.0,200,2.742909
-200.0,200,2.814401
-200.0,200,2.886469
-200.0,200,2.958423
-200.0,200,3.029988
-200.0,200,3.102179
-200.0,200,3.174179
-200.0,200,3.246009
-200.0,200,3.318023
-200.0,200,3.389929
-200.0,200,3.462519
-200.0,200,3.535474
-200.0,200,3.607389
-200.0,200,3.680365
-200.0,200,3.753468
-200.0,200,3.826055
-200.0,200,3.898471
-200.0,200,3.971066
-200.0,200,4.044454
-200.0,200,4.117089
-200.0,200,4.190354
-200.0,200,4.263093
-200.0,200,4.336098
-200.0,200,4.408835
-200.0,200,4.482179
-200.0,200,4.555782
-200.0,200,4.628695
-200.0,200,4.702424
-200.0,200,4.775878
-200.0,200,4.852138
-200.0,200,4.92734
-200.0,200,5.000646
-200.0,200,5.075806
-200.0,200,5.150209
-200.0,200,5.224406
-200.0,200,5.297951
-200.0,200,5.371409
-200.0,200,5.445124
-200.0,200,5.518597
-200.0,200,5.591718
-200.0,200,5.667374
-200.0,200,5.741076
-200.0,200,5.814319
-200.0,200,5.888424
-200.0,200,5.965955
-200.0,200,6.087754
-200.0,200,6.173862
-200.0,200,6.257131
-200.0,200,6.337735
-200.0,200,6.417302
-200.0,200,6.525017
-200.0,200,6.5999
-200.0,200,6.674739
-200.0,200,6.749062
-200.0,200,6.823504
-200.0,200,6.897776
-200.0,200,6.971701
-200.0,200,7.046425
-200.0,200,7.120501
-200.0,200,7.194785
-200.0,200,7.268906
-200.0,200,7.343793
-200.0,200,7.418178
-200.0,200,7.492775
-200.0,200,7.567474
-200.0,200,7.641959
-200.0,200,7.71619
-200.0,200,7.793057
-200.0,200,7.868539
-200.0,200,7.943372
-200.0,200,8.018772
-200.0,200,8.093406
-200.0,200,8.168493
-200.0,200,8.243525
-200.0,200,8.318244
-200.0,200,8.393256
-200.0,200,8.468578
-200.0,200,8.544115
-200.0,200,8.619536
-200.0,200,8.695027
-200.0,200,8.770685
-200.0,200,8.84654
-200.0,200,8.922494
-200.0,200,8.998035
-200.0,200,9.07359
-200.0,200,9.14979
-200.0,200,9.225343
-200.0,200,9.300941
-200.0,200,9.376602
-200.0,200,9.452018
-200.0,200,9.528195
-200.0,200,9.603751
-200.0,200,9.679278
-200.0,200,9.755341
-200.0,200,9.831014
-200.0,200,9.90799
-200.0,200,9.984394
-200.0,200,10.060573
-200.0,200,10.136924
-200.0,200,10.213949
-200.0,200,10.293192
-200.0,200,10.371007
-200.0,200,10.447851
-200.0,200,10.526945
-200.0,200,10.612292
-200.0,200,10.724669
-200.0,200,10.809157
-200.0,200,10.892483
-200.0,200,10.976301
-200.0,200,11.07619
-200.0,200,11.153998
-200.0,200,11.23062
-200.0,200,11.307189
-200.0,200,11.384068
-200.0,200,11.460545
-200.0,200,11.537117
-200.0,200,11.613706
-200.0,200,11.690244
-200.0,200,11.767033
-200.0,200,11.843652
-200.0,200,11.92041
-200.0,200,11.996851
-200.0,200,12.074736
-200.0,200,12.151833
-200.0,200,12.228317
-200.0,200,12.305219
-200.0,200,12.381919
-200.0,200,12.458454
-200.0,200,12.535182
-200.0,200,12.611832
-200.0,200,12.688607
-200.0,200,12.765167
-200.0,200,12.841773
-200.0,200,12.918597
-200.0,200,12.994906
-200.0,200,13.07156
-200.0,200,13.148284
-200.0,200,13.224684
-200.0,200,13.304328
-200.0,200,13.390919
-200.0,200,13.469112
-200.0,200,13.546924
-200.0,200,13.623758
-200.0,200,13.70042
-200.0,200,13.777256
-200.0,200,13.85373
-200.0,200,13.930219
-200.0,200,14.007038
-200.0,200,14.084222
-200.0,200,14.162361
-200.0,200,14.239729
-200.0,200,14.316219
-200.0,200,14.392925
-200.0,200,14.469765
-200.0,200,14.546521
-200.0,200,14.623343
-200.0,200,14.699573
-200.0,200,14.775817
-200.0,200,14.852428
-200.0,200,14.929344
-200.0,200,15.006533
-200.0,200,15.083238
-200.0,200,15.159543
-200.0,200,15.235756
-200.0,200,15.312386
-200.0,200,15.389028
-200.0,200,15.465242
-200.0,200,15.544162
-200.0,200,15.62274
-200.0,200,15.699362
-200.0,200,15.776181
-200.0,200,15.852757
-200.0,200,15.929307
-200.0,200,16.006123
-200.0,200,16.082652
-200.0,200,16.159326
-200.0,200,16.235675
-200.0,200,16.312988
-200.0,200,16.389896
-200.0,200,16.466122
-200.0,200,16.542957
-200.0,200,16.61954
-200.0,200,16.695815
-200.0,200,16.772586
-200.0,200,16.849103
-200.0,200,16.925827
-200.0,200,17.002344
-200.0,200,17.078867
-200.0,200,17.155538
-200.0,200,17.231859
-200.0,200,17.308853
-200.0,200,17.385929
-200.0,200,17.462524
-200.0,200,17.53973
-200.0,200,17.616535
-200.0,200,17.693571
-200.0,200,17.770396
-200.0,200,17.84715
-200.0,200,17.924178
-200.0,200,18.000537
-200.0,200,18.077261
-200.0,200,18.153894
-200.0,200,18.230381
-200.0,200,18.307325
-200.0,200,18.384324
-200.0,200,18.461656
-200.0,200,18.538399
-200.0,200,18.615022
-200.0,200,18.691706
-200.0,200,18.768287
-200.0,200,18.844939
-200.0,200,18.921533
-200.0,200,18.997783
-200.0,200,19.074583
-200.0,200,19.151405
-200.0,200,19.228006
-200.0,200,19.30473
-200.0,200,19.381228
-200.0,200,19.457934
-200.0,200,19.534368
-200.0,200,19.611029
-200.0,200,19.687319
-200.0,200,19.763777
-200.0,200,19.840536
-200.0,200,19.916983
-200.0,200,19.993595
-200.0,200,20.069867
-200.0,200,20.146689
-200.0,200,20.223372
-200.0,200,20.299792
-200.0,200,20.376805
-200.0,200,20.453723
-200.0,200,20.531416
-200.0,200,20.608857
-200.0,200,20.685591
-200.0,200,20.762454
-200.0,200,20.839482
-200.0,200,20.91625
-200.0,200,20.993185
-200.0,200,21.072718
-200.0,200,21.151107
-200.0,200,21.227884
-200.0,200,21.304233
-200.0,200,21.380986
-200.0,200,21.457563
-200.0,200,21.534109
-200.0,200,21.610535
-200.0,200,21.686875
-200.0,200,21.763419
-200.0,200,21.839902
-200.0,200,21.916433
-200.0,200,21.992729
-200.0,200,22.069012
-200.0,200,22.14567
-200.0,200,22.222003
-200.0,200,22.298288
-200.0,200,22.374823
-200.0,200,22.45098
-200.0,200,22.53247
-200.0,200,22.612379
-200.0,200,22.695179
-200.0,200,22.776702
-200.0,200,22.857192
-200.0,200,22.934965
-200.0,200,23.01206
-200.0,200,23.089268
-200.0,200,23.165941
-200.0,200,23.244352
-200.0,200,23.323028
-200.0,200,23.406637
-200.0,200,23.502225
-200.0,200,23.585036
-200.0,200,23.677064
-200.0,200,23.762603
-200.0,200,23.857167
-200.0,200,23.955649
-200.0,200,24.085239
-200.0,200,24.207303
-200.0,200,24.29494
-200.0,200,24.375134
-200.0,200,24.454196
-200.0,200,24.531774
-200.0,200,24.608152
-200.0,200,24.686298
-200.0,200,24.762755
-200.0,200,24.840491
-200.0,200,24.916889
-200.0,200,24.993573
-200.0,200,25.071011
-200.0,200,25.151537
-200.0,200,25.228977
-200.0,200,25.30548
-200.0,200,25.382488
-200.0,200,25.459303
-200.0,200,25.536019
-200.0,200,25.612331
-200.0,200,25.688452
-200.0,200,25.764379
-200.0,200,25.840656
-200.0,200,25.916907
-200.0,200,25.993225
-200.0,200,26.069678
-200.0,200,26.146068
-200.0,200,26.222378
-200.0,200,26.298429
-200.0,200,26.374649
-200.0,200,26.450704
-200.0,200,26.529637
-200.0,200,26.608007
-200.0,200,26.6851
-200.0,200,26.762187
-200.0,200,26.839609
-200.0,200,26.91812
-200.0,200,26.99533
-200.0,200,27.071951
-200.0,200,27.148945
-200.0,200,27.225351
-200.0,200,27.301806
-200.0,200,27.379095
-200.0,200,27.455593
-200.0,200,27.533844
-200.0,200,27.616533
-200.0,200,27.70421
-200.0,200,27.783618
-200.0,200,27.863252
-200.0,200,27.940639
-200.0,200,28.017289
-200.0,200,28.09367
-200.0,200,28.170456
-200.0,200,28.247524
-200.0,200,28.324485
-200.0,200,28.401082
-200.0,200,28.477477
-200.0,200,28.554319
-200.0,200,28.630725
-200.0,200,28.707462
-200.0,200,28.78389
-200.0,200,28.860395
-200.0,200,28.936806
-200.0,200,29.01315
-200.0,200,29.091964
-200.0,200,29.172004
-200.0,200,29.249061
-200.0,200,29.326277
-200.0,200,29.402971
-200.0,200,29.479923
-200.0,200,29.556687
-200.0,200,29.633311
-200.0,200,29.710292
-200.0,200,29.786949
-200.0,200,29.86376
-200.0,200,29.942178
-200.0,200,30.020064
-200.0,200,30.097175
-200.0,200,30.17378
-200.0,200,30.250839
-200.0,200,30.330602
-200.0,200,30.410738
-200.0,200,30.490268
-200.0,200,30.567238
-200.0,200,30.648928
-200.0,200,30.73476
-200.0,200,30.817035
-200.0,200,30.896193
-200.0,200,30.97766
-200.0,200,31.058955
-200.0,200,31.14208
-200.0,200,31.227723
-200.0,200,31.307262
-200.0,200,31.386142
-200.0,200,31.464685
-200.0,200,31.542897
-200.0,200,31.621284
-200.0,200,31.710782
-200.0,200,31.789092
-200.0,200,31.869089
-200.0,200,31.950936
-200.0,200,32.035488
-200.0,200,32.117955
-200.0,200,32.197272
-200.0,200,32.276468
-200.0,200,32.355493
-200.0,200,32.432679
-200.0,200,32.512508
-200.0,200,32.592062
-200.0,200,32.671556
-200.0,200,32.749396
