#{"t_start": 1748827349.4967082, "env_id": "MountainCar-v0"}
r,l,t
-200.0,200,0.007947
-200.0,200,0.013449
-200.0,200,0.019258
-200.0,200,0.024842
-200.0,200,0.030347
-200.0,200,0.101794
-200.0,200,0.171864
-200.0,200,0.242311
-200.0,200,0.31287
-200.0,200,0.383545
-200.0,200,0.45416
-200.0,200,0.524783
-200.0,200,0.595102
-200.0,200,0.665287
-200.0,200,0.736501
-200.0,200,0.807219
-200.0,200,0.877421
-200.0,200,0.948439
-200.0,200,1.019047
-200.0,200,1.089619
-200.0,200,1.16055
-200.0,200,1.231354
-200.0,200,1.302435
-200.0,200,1.373826
-200.0,200,1.445144
-200.0,200,1.516788
-200.0,200,1.589225
-200.0,200,1.661527
-200.0,200,1.733044
-200.0,200,1.805235
-200.0,200,1.876936
-200.0,200,1.948937
-200.0,200,2.02067
-200.0,200,2.092714
-200.0,200,2.164242
-200.0,200,2.235884
-200.0,200,2.307714
-200.0,200,2.378558
-200.0,200,2.44997
-200.0,200,2.521437
-200.0,200,2.593079
-200.0,200,2.66505
-200.0,200,2.737651
-200.0,200,2.809484
-200.0,200,2.881138
-200.0,200,2.953631
-200.0,200,3.025882
-200.0,200,3.098086
-200.0,200,3.169679
-200.0,200,3.241524
-200.0,200,3.31367
-200.0,200,3.385517
-200.0,200,3.458115
-200.0,200,3.530362
-200.0,200,3.602743
-200.0,200,3.676018
-200.0,200,3.74978
-200.0,200,3.822455
-200.0,200,3.894471
-200.0,200,3.967287
-200.0,200,4.040191
-200.0,200,4.113057
-200.0,200,4.18615
-200.0,200,4.258628
-200.0,200,4.332032
-200.0,200,4.404938
-200.0,200,4.479922
-200.0,200,4.553497
-200.0,200,4.626337
-200.0,200,4.6994
-200.0,200,4.772372
-200.0,200,4.845313
-200.0,200,4.918476
-200.0,200,4.991887
-200.0,200,5.06505
-200.0,200,5.138387
-200.0,200,5.211674
-200.0,200,5.284898
-200.0,200,5.357687
-200.0,200,5.430839
-200.0,200,5.504159
-200.0,200,5.578739
-200.0,200,5.658455
-200.0,200,5.7589
-200.0,200,5.846706
-200.0,200,5.926884
-200.0,200,6.004378
-200.0,200,6.084561
-200.0,200,6.185761
-200.0,200,6.26864
-200.0,200,6.342898
-200.0,200,6.417043
-200.0,200,6.491406
-200.0,200,6.566034
-200.0,200,6.640661
-200.0,200,6.714925
-200.0,200,6.788767
-200.0,200,6.863358
-200.0,200,6.945501
-200.0,200,7.020522
-200.0,200,7.095211
-200.0,200,7.170113
-200.0,200,7.244781
-200.0,200,7.322149
-200.0,200,7.400798
-200.0,200,7.48393
-200.0,200,7.560275
-200.0,200,7.635694
-200.0,200,7.710804
-200.0,200,7.785652
-200.0,200,7.860963
-200.0,200,7.935551
-200.0,200,8.011936
-200.0,200,8.086634
-200.0,200,8.161305
-200.0,200,8.236665
-200.0,200,8.311938
-200.0,200,8.38688
-200.0,200,8.462121
-200.0,200,8.537041
