#{"t_start": 1748828635.070642, "env_id": "MountainCar-v0"}
r,l,t
-200.0,200,0.008252
-200.0,200,0.013753
-200.0,200,0.019628
-200.0,200,0.025139
-200.0,200,0.030667
-200.0,200,0.101969
-200.0,200,0.172923
-200.0,200,0.242799
-200.0,200,0.312712
-200.0,200,0.38407
-200.0,200,0.454361
-200.0,200,0.524832
-200.0,200,0.594745
-200.0,200,0.665944
-200.0,200,0.736338
-200.0,200,0.807553
-200.0,200,0.878176
-200.0,200,0.948937
-200.0,200,1.018935
-200.0,200,1.089424
-200.0,200,1.160481
-200.0,200,1.231025
-200.0,200,1.301482
-200.0,200,1.37442
-200.0,200,1.4493
-200.0,200,1.531457
-200.0,200,1.605389
-200.0,200,1.678093
-200.0,200,1.749872
-200.0,200,1.820294
-200.0,200,1.891465
-200.0,200,1.96232
-200.0,200,2.033467
-200.0,200,2.104758
-200.0,200,2.176211
-200.0,200,2.248459
-200.0,200,2.319498
-200.0,200,2.390328
-200.0,200,2.461385
-200.0,200,2.532464
-200.0,200,2.60334
-200.0,200,2.674554
-200.0,200,2.745771
-200.0,200,2.81707
-200.0,200,2.888005
-200.0,200,2.959608
-200.0,200,3.030558
-200.0,200,3.101763
-200.0,200,3.173507
-200.0,200,3.244834
-200.0,200,3.316303
-200.0,200,3.387982
-200.0,200,3.459396
-200.0,200,3.530511
-200.0,200,3.602189
-200.0,200,3.674258
-200.0,200,3.746093
-200.0,200,3.817932
-200.0,200,3.889764
-200.0,200,3.961671
-200.0,200,4.049206
-200.0,200,4.146076
-200.0,200,4.21843
-200.0,200,4.290289
-200.0,200,4.362885
-200.0,200,4.436344
-200.0,200,4.5087
-200.0,200,4.580934
-200.0,200,4.653276
-200.0,200,4.726066
-200.0,200,4.799114
-200.0,200,4.871556
-200.0,200,4.944384
-200.0,200,5.017168
-200.0,200,5.090396
-200.0,200,5.169107
-200.0,200,5.243291
-200.0,200,5.317161
-200.0,200,5.390802
-200.0,200,5.465543
-200.0,200,5.549735
-200.0,200,5.653678
-200.0,200,5.755079
-200.0,200,5.84534
-200.0,200,5.924229
-200.0,200,6.003058
-200.0,200,6.106089
-200.0,200,6.191011
-200.0,200,6.265634
-200.0,200,6.645517
-200.0,200,6.738746
-200.0,200,6.816413
-200.0,200,6.89287
-200.0,200,6.967426
-200.0,200,7.042305
-200.0,200,7.117303
-200.0,200,7.192118
-200.0,200,7.266759
-200.0,200,7.340917
-200.0,200,7.415888
-200.0,200,7.490694
-200.0,200,7.565828
-200.0,200,7.640916
-200.0,200,7.715339
-200.0,200,7.790127
-200.0,200,7.865454
-200.0,200,7.943077
-200.0,200,8.019084
-200.0,200,8.094352
-200.0,200,8.172023
-200.0,200,8.252706
-200.0,200,8.330092
-200.0,200,8.405569
-200.0,200,8.481371
-200.0,200,8.55614
-200.0,200,8.631529
-200.0,200,8.706838
-200.0,200,8.782059
-200.0,200,8.857745
-200.0,200,8.933002
-200.0,200,9.008626
-200.0,200,9.083925
-200.0,200,9.159345
-200.0,200,9.234686
-200.0,200,9.30999
-200.0,200,9.385729
-200.0,200,9.461729
-200.0,200,9.537645
-200.0,200,9.613785
-200.0,200,9.689486
-200.0,200,9.76552
-200.0,200,9.841719
-200.0,200,9.925072
-200.0,200,10.006348
-200.0,200,10.09447
-200.0,200,10.175508
-200.0,200,10.252716
-200.0,200,10.329638
-200.0,200,10.40688
-200.0,200,10.487238
-200.0,200,10.564073
-200.0,200,10.640705
-200.0,200,10.719965
-200.0,200,10.798139
-200.0,200,10.876603
-200.0,200,10.953042
-200.0,200,11.030078
-200.0,200,11.131636
-200.0,200,11.252101
-200.0,200,11.350311
-200.0,200,11.441014
