#{"t_start": 1748826879.548466, "env_id": "MountainCar-v0"}
r,l,t
-200.0,200,0.007483
-200.0,200,0.012821
-200.0,200,0.018404
-200.0,200,0.023887
-200.0,200,0.029319
-200.0,200,0.102116
-200.0,200,0.172359
-200.0,200,0.242043
-200.0,200,0.312027
-200.0,200,0.381897
-200.0,200,0.451908
-200.0,200,0.521824
-200.0,200,0.591203
-200.0,200,0.660851
-200.0,200,0.730645
-200.0,200,0.800386
-200.0,200,0.871554
-200.0,200,0.941947
-200.0,200,1.012132
-200.0,200,1.082293
-200.0,200,1.152384
-200.0,200,1.222303
-200.0,200,1.293014
-200.0,200,1.363241
-200.0,200,1.434977
-200.0,200,1.50639
-200.0,200,1.577552
-200.0,200,1.648673
-200.0,200,1.720551
-200.0,200,1.791056
-200.0,200,1.862118
-200.0,200,1.933642
-200.0,200,2.005188
-200.0,200,2.076408
-200.0,200,2.148145
-200.0,200,2.219355
-200.0,200,2.290537
-200.0,200,2.362323
-200.0,200,2.433398
-200.0,200,2.505429
-200.0,200,2.57712
-200.0,200,2.648583
-200.0,200,2.720303
-200.0,200,2.79171
-200.0,200,2.863542
-200.0,200,2.935145
-200.0,200,3.007109
-200.0,200,3.078522
-200.0,200,3.149967
-200.0,200,3.221859
-200.0,200,3.293912
-200.0,200,3.365734
-200.0,200,3.437606
-200.0,200,3.509757
-200.0,200,3.583465
-200.0,200,3.656016
-200.0,200,3.728436
-200.0,200,3.800721
-200.0,200,3.875025
-200.0,200,3.95331
-200.0,200,4.025991
-200.0,200,4.099007
-200.0,200,4.17243
-200.0,200,4.245288
-200.0,200,4.318333
-200.0,200,4.391904
-200.0,200,4.464639
-200.0,200,4.538138
-200.0,200,4.612198
-200.0,200,4.68561
-200.0,200,4.758533
-200.0,200,4.831319
-200.0,200,4.904641
-200.0,200,4.977442
-200.0,200,5.050059
-200.0,200,5.123429
-200.0,200,5.197167
-200.0,200,5.270742
-200.0,200,5.343968
-200.0,200,5.417113
-200.0,200,5.491664
-200.0,200,5.600864
-200.0,200,5.734426
-200.0,200,5.81581
-200.0,200,5.897634
-200.0,200,5.97916
-200.0,200,6.08326
-200.0,200,6.158242
-200.0,200,6.232237
-200.0,200,6.306204
-200.0,200,6.380696
-200.0,200,6.454158
-200.0,200,6.527996
-200.0,200,6.60197
-200.0,200,6.676261
-200.0,200,6.75034
-200.0,200,6.825779
-200.0,200,6.905549
-200.0,200,6.989499
-200.0,200,7.066214
-200.0,200,7.143555
-200.0,200,7.219105
-200.0,200,7.295201
-200.0,200,7.369972
-200.0,200,7.444227
-200.0,200,7.518933
-200.0,200,7.593555
-200.0,200,7.668285
-200.0,200,7.743005
-200.0,200,7.818777
-200.0,200,7.89386
-200.0,200,7.968978
-200.0,200,8.044
-200.0,200,8.119166
-200.0,200,8.194165
-200.0,200,8.269447
-200.0,200,8.344245
-200.0,200,8.419363
-200.0,200,8.494402
-200.0,200,8.56956
-200.0,200,8.645257
-200.0,200,8.721271
-200.0,200,8.796857
-200.0,200,8.871979
-200.0,200,8.947148
-200.0,200,9.022866
-200.0,200,9.098181
-200.0,200,9.173806
-200.0,200,9.249423
-200.0,200,9.325328
