#{"t_start": 1748825582.778708, "env_id": "MountainCar-v0"}
r,l,t
-200.0,200,0.582482
-200.0,200,0.587991
-200.0,200,0.594948
-200.0,200,0.600346
-200.0,200,0.605859
-200.0,200,0.710192
-200.0,200,0.779475
-200.0,200,0.848478
-200.0,200,0.917808
-200.0,200,0.986447
-200.0,200,1.055815
-200.0,200,1.1246
-200.0,200,1.193501
-200.0,200,1.262116
-200.0,200,1.330949
-200.0,200,1.400019
-200.0,200,1.469099
-200.0,200,1.538687
-200.0,200,1.607697
-200.0,200,1.677964
-200.0,200,1.747696
-200.0,200,1.81704
-200.0,200,1.886966
-200.0,200,1.956449
-200.0,200,2.025828
-200.0,200,2.095548
-200.0,200,2.165236
-200.0,200,2.235239
-200.0,200,2.30511
-200.0,200,2.374631
-200.0,200,2.44467
-200.0,200,2.514959
-200.0,200,2.585063
-200.0,200,2.655022
-200.0,200,2.725256
-200.0,200,2.795501
-200.0,200,2.866302
-200.0,200,2.937085
-200.0,200,3.007399
-200.0,200,3.079396
-200.0,200,3.152992
-200.0,200,3.224519
-200.0,200,3.297531
-200.0,200,3.369716
-200.0,200,3.442324
-200.0,200,3.514525
-200.0,200,3.586421
-200.0,200,3.658365
-200.0,200,3.728972
-200.0,200,3.801301
-200.0,200,3.873345
-200.0,200,3.945358
-200.0,200,4.01754
-200.0,200,4.088594
-200.0,200,4.168014
-200.0,200,4.258159
-200.0,200,4.336096
-200.0,200,4.410578
-200.0,200,4.490298
-200.0,200,4.561718
-200.0,200,4.634581
-200.0,200,4.706808
-200.0,200,4.78673
-200.0,200,4.858784
-200.0,200,4.931247
-200.0,200,5.00447
-200.0,200,5.076039
-200.0,200,5.148946
-200.0,200,5.221731
-200.0,200,5.293341
-200.0,200,5.370401
-200.0,200,5.443166
-200.0,200,5.515665
-200.0,200,5.588786
-200.0,200,5.661213
-200.0,200,5.733709
-200.0,200,5.806862
-200.0,200,5.879428
-200.0,200,5.953408
-200.0,200,6.026647
-200.0,200,6.099118
-200.0,200,6.173194
-200.0,200,6.246417
-200.0,200,6.318986
-200.0,200,6.392871
-200.0,200,6.466275
-200.0,200,6.53901
-200.0,200,6.612502
-200.0,200,6.685545
-200.0,200,6.758603
