#{"t_start": 1748826646.433972, "env_id": "MountainCar-v0"}
r,l,t
-200.0,200,0.007478
-200.0,200,0.012953
-200.0,200,0.018778
-200.0,200,0.024268
-200.0,200,0.029729
-200.0,200,0.100879
-200.0,200,0.170821
-200.0,200,0.241707
-200.0,200,0.31144
-200.0,200,0.381288
-200.0,200,0.452175
-200.0,200,0.522513
-200.0,200,0.592862
-200.0,200,0.663063
-200.0,200,0.732959
-200.0,200,0.803884
-200.0,200,0.874619
-200.0,200,0.945258
-200.0,200,1.016226
-200.0,200,1.088207
-200.0,200,1.159412
-200.0,200,1.230648
-200.0,200,1.301408
-200.0,200,1.371659
-200.0,200,1.44243
-200.0,200,1.513116
-200.0,200,1.58402
-200.0,200,1.654846
-200.0,200,1.725644
-200.0,200,1.796754
-200.0,200,1.867852
-200.0,200,1.9381
-200.0,200,2.008655
-200.0,200,2.079323
-200.0,200,2.150332
-200.0,200,2.221618
-200.0,200,2.292794
-200.0,200,2.36485
-200.0,200,2.437092
-200.0,200,2.508357
-200.0,200,2.580631
-200.0,200,2.65205
-200.0,200,2.723861
-200.0,200,2.795416
-200.0,200,2.866451
-200.0,200,2.937801
-200.0,200,3.009582
-200.0,200,3.081464
-200.0,200,3.155144
-200.0,200,3.228359
-200.0,200,3.300737
-200.0,200,3.374341
-200.0,200,3.447944
-200.0,200,3.519776
-200.0,200,3.593742
-200.0,200,3.666609
-200.0,200,3.740672
-200.0,200,3.813769
-200.0,200,3.887205
-200.0,200,3.959996
-200.0,200,4.033231
-200.0,200,4.108867
-200.0,200,4.182521
-200.0,200,4.255587
-200.0,200,4.329267
-200.0,200,4.42647
-200.0,200,4.522047
-200.0,200,4.596418
-200.0,200,4.67186
-200.0,200,4.74595
-200.0,200,4.819994
-200.0,200,4.902719
-200.0,200,4.975732
-200.0,200,5.049107
-200.0,200,5.121495
-200.0,200,5.194775
-200.0,200,5.267778
-200.0,200,5.341025
-200.0,200,5.413724
-200.0,200,5.486572
-200.0,200,5.559299
-200.0,200,5.632454
-200.0,200,5.716443
-200.0,200,5.789705
-200.0,200,5.862789
-200.0,200,5.936705
-200.0,200,6.010427
-200.0,200,6.083845
-200.0,200,6.157293
-200.0,200,6.257722
-200.0,200,6.332175
-200.0,200,6.406015
-200.0,200,6.47992
-200.0,200,6.55401
-200.0,200,6.627522
-200.0,200,6.701926
-200.0,200,6.776147
-200.0,200,6.851245
-200.0,200,6.926143
-200.0,200,7.000434
-200.0,200,7.075285
-200.0,200,7.149217
-200.0,200,7.223871
-200.0,200,7.298095
-200.0,200,7.372737
-200.0,200,7.447599
-200.0,200,7.520808
-200.0,200,7.595956
-200.0,200,7.670256
-200.0,200,7.744122
-200.0,200,7.818608
-200.0,200,7.892914
-200.0,200,7.967811
-200.0,200,8.044009
-200.0,200,8.124768
-200.0,200,8.254043
-200.0,200,8.353781
-200.0,200,8.438482
-200.0,200,8.521207
-200.0,200,8.632872
-200.0,200,8.709368
-200.0,200,8.785133
-200.0,200,8.860923
-200.0,200,8.938443
-200.0,200,9.014418
-200.0,200,9.089803
-200.0,200,9.164913
-200.0,200,9.240212
-200.0,200,9.315338
-200.0,200,9.390843
-200.0,200,9.466129
-200.0,200,9.541401
-200.0,200,9.616744
-200.0,200,9.691612
-200.0,200,9.771884
-200.0,200,9.855449
-200.0,200,9.960275
-200.0,200,10.050738
-200.0,200,10.134114
-200.0,200,10.218572
-200.0,200,10.324199
-200.0,200,10.400866
-200.0,200,10.47769
-200.0,200,10.553813
-200.0,200,10.630061
-200.0,200,10.706804
-200.0,200,10.782731
-200.0,200,10.859286
-200.0,200,10.93538
-200.0,200,11.011847
-200.0,200,11.089439
-200.0,200,11.166043
-200.0,200,11.24258
-200.0,200,11.318581
-200.0,200,11.395186
-200.0,200,11.472235
-200.0,200,11.548891
-200.0,200,11.625884
-200.0,200,11.702605
-200.0,200,11.779454
-200.0,200,11.856362
-200.0,200,11.933096
-200.0,200,12.009779
-200.0,200,12.085967
-200.0,200,12.162154
-200.0,200,12.2386
-200.0,200,12.314599
-200.0,200,12.39075
-200.0,200,12.466858
-200.0,200,12.543212
-200.0,200,12.619685
-200.0,200,12.695866
-200.0,200,12.797335
-200.0,200,12.924569
-200.0,200,13.015815
-200.0,200,13.10079
-200.0,200,13.186923
-200.0,200,13.293693
-200.0,200,13.371061
-200.0,200,13.447938
-200.0,200,13.524454
-200.0,200,13.600995
-200.0,200,13.67763
-200.0,200,13.753853
-200.0,200,13.831067
-200.0,200,13.907836
-200.0,200,13.984197
-200.0,200,14.060783
-200.0,200,14.137077
-200.0,200,14.213505
-200.0,200,14.289898
-200.0,200,14.377226
-200.0,200,14.454402
-200.0,200,14.530601
-200.0,200,14.607826
-200.0,200,14.68611
-200.0,200,14.763055
-200.0,200,14.839702
-200.0,200,14.968182
-200.0,200,15.048606
-200.0,200,15.126469
-200.0,200,15.20337
-200.0,200,15.280239
-200.0,200,15.357919
-200.0,200,15.435204
-200.0,200,15.512206
-200.0,200,15.588889
-200.0,200,15.66607
-200.0,200,15.742615
-200.0,200,15.819133
-200.0,200,15.896153
-200.0,200,15.972591
-200.0,200,16.049672
-200.0,200,16.1267
-200.0,200,16.204016
-200.0,200,16.281394
-200.0,200,16.359089
-200.0,200,16.436527
-200.0,200,16.51349
-200.0,200,16.590443
-200.0,200,16.668084
