#{"t_start": 1748826411.516927, "env_id": "MountainCar-v0"}
r,l,t
-200.0,200,0.007717
-200.0,200,0.013296
-200.0,200,0.018998
-200.0,200,0.024515
-200.0,200,0.029974
-200.0,200,0.101273
-200.0,200,0.17112
-200.0,200,0.240966
-200.0,200,0.311041
-200.0,200,0.380733
-200.0,200,0.450758
-200.0,200,0.521755
-200.0,200,0.592221
-200.0,200,0.661935
-200.0,200,0.732844
-200.0,200,0.803245
-200.0,200,0.87408
-200.0,200,0.947826
-200.0,200,1.020897
-200.0,200,1.100537
-200.0,200,1.172024
-200.0,200,1.243434
-200.0,200,1.313955
-200.0,200,1.38439
-200.0,200,1.454688
-200.0,200,1.525372
-200.0,200,1.595915
-200.0,200,1.66636
-200.0,200,1.736688
-200.0,200,1.807023
-200.0,200,1.877758
-200.0,200,1.948344
-200.0,200,2.018946
-200.0,200,2.08963
-200.0,200,2.16041
-200.0,200,2.230905
-200.0,200,2.301598
-200.0,200,2.372707
-200.0,200,2.443651
-200.0,200,2.514773
-200.0,200,2.586187
-200.0,200,2.657147
-200.0,200,2.72916
-200.0,200,2.801863
-200.0,200,2.873702
-200.0,200,2.945974
-200.0,200,3.017769
-200.0,200,3.090488
-200.0,200,3.162356
-200.0,200,3.233208
-200.0,200,3.30557
-200.0,200,3.377086
-200.0,200,3.449269
-200.0,200,3.521238
-200.0,200,3.593359
-200.0,200,3.665405
-200.0,200,3.73727
-200.0,200,3.809679
-200.0,200,3.881992
-200.0,200,3.954257
-200.0,200,4.026538
-200.0,200,4.098985
-200.0,200,4.171518
-200.0,200,4.243448
-200.0,200,4.31598
-200.0,200,4.38873
-200.0,200,4.461224
-200.0,200,4.533886
-200.0,200,4.606217
-200.0,200,4.678545
-200.0,200,4.751141
-200.0,200,4.823929
-200.0,200,4.90022
-200.0,200,4.973556
-200.0,200,5.046139
-200.0,200,5.119269
-200.0,200,5.193273
-200.0,200,5.267209
-200.0,200,5.340754
-200.0,200,5.413535
-200.0,200,5.487117
-200.0,200,5.560074
-200.0,200,5.651385
-200.0,200,5.783741
-200.0,200,5.935891
-200.0,200,6.026802
-200.0,200,6.106015
-200.0,200,6.183744
-200.0,200,6.26451
-200.0,200,6.41746
-200.0,200,6.5251
-200.0,200,6.611148
-200.0,200,6.687809
-200.0,200,6.764057
-200.0,200,6.839547
-200.0,200,6.915121
-200.0,200,6.992361
-200.0,200,7.067221
-200.0,200,7.142764
-200.0,200,7.217485
-200.0,200,7.293554
-200.0,200,7.368163
-200.0,200,7.442389
-200.0,200,7.516946
-200.0,200,7.591449
-200.0,200,7.666312
-200.0,200,7.741004
-200.0,200,7.815469
-200.0,200,7.890279
-200.0,200,7.965553
-200.0,200,8.040186
-200.0,200,8.114845
-200.0,200,8.189755
-200.0,200,8.264743
-200.0,200,8.339764
-200.0,200,8.414724
-200.0,200,8.489899
-200.0,200,8.565668
-200.0,200,8.65399
-200.0,200,8.746753
-200.0,200,8.824984
-200.0,200,8.902766
-200.0,200,8.978975
-200.0,200,9.054639
-200.0,200,9.130712
-200.0,200,9.206497
-200.0,200,9.28204
-200.0,200,9.357767
-200.0,200,9.434226
-200.0,200,9.512132
-200.0,200,9.591013
-200.0,200,9.666942
-200.0,200,9.743739
-200.0,200,9.823363
-200.0,200,10.094346
-200.0,200,10.213929
-200.0,200,10.308547
-200.0,200,10.393007
-200.0,200,10.475078
-200.0,200,10.607639
-200.0,200,10.689102
-200.0,200,10.766837
-200.0,200,10.843533
-200.0,200,10.922585
-200.0,200,11.001368
-200.0,200,11.079722
-200.0,200,11.158663
-200.0,200,11.237643
-200.0,200,11.314813
-200.0,200,11.391915
-200.0,200,11.470348
-200.0,200,11.548818
-200.0,200,11.625684
-200.0,200,11.702164
-200.0,200,11.778512
-200.0,200,11.856801
-200.0,200,11.933655
-200.0,200,12.010252
-200.0,200,12.086897
-200.0,200,12.163886
-200.0,200,12.240686
-200.0,200,12.317491
-200.0,200,12.394583
-200.0,200,12.471365
-200.0,200,12.548171
-200.0,200,12.625179
-200.0,200,12.702186
-200.0,200,12.778979
-200.0,200,12.855434
-200.0,200,12.931945
-200.0,200,13.008444
-200.0,200,13.084918
-200.0,200,13.161628
-200.0,200,13.238009
-200.0,200,13.314479
-200.0,200,13.391551
-200.0,200,13.467878
-200.0,200,13.544333
-200.0,200,13.620868
-200.0,200,13.698618
-200.0,200,13.775761
-200.0,200,13.852304
-200.0,200,13.929138
-200.0,200,14.008419
-200.0,200,14.085933
-200.0,200,14.162891
-200.0,200,14.239578
-200.0,200,14.31646
-200.0,200,14.39295
-200.0,200,14.469565
-200.0,200,14.546891
-200.0,200,14.6692
-200.0,200,14.74862
-200.0,200,14.826227
-200.0,200,14.903021
-200.0,200,14.97972
-200.0,200,15.056278
-200.0,200,15.133529
-200.0,200,15.209445
-200.0,200,15.285931
-200.0,200,15.363364
-200.0,200,15.439964
-200.0,200,15.516527
-200.0,200,15.593497
-200.0,200,15.670427
-200.0,200,15.747624
-200.0,200,15.842316
-200.0,200,15.945026
-200.0,200,16.036726
-200.0,200,16.120969
-200.0,200,16.204546
-200.0,200,16.316757
-200.0,200,16.394715
-200.0,200,16.471895
-200.0,200,16.548571
-200.0,200,16.625551
-200.0,200,16.702255
-200.0,200,16.779132
-200.0,200,16.85572
-200.0,200,16.932264
-175.0,175,16.999637
-200.0,200,17.076981
-200.0,200,17.154051
-200.0,200,17.230574
-200.0,200,17.307566
-200.0,200,17.384797
-200.0,200,17.461321
-200.0,200,17.607526
-200.0,200,17.696362
-200.0,200,17.773382
-200.0,200,17.851216
-200.0,200,17.929087
-200.0,200,18.00614
-200.0,200,18.082888
-200.0,200,18.159511
-200.0,200,18.236324
-200.0,200,18.312991
-200.0,200,18.389893
-200.0,200,18.466471
-194.0,194,18.540859
-200.0,200,18.617596
-200.0,200,18.693987
-200.0,200,18.770682
-200.0,200,18.846886
-200.0,200,18.923476
-200.0,200,19.000511
-200.0,200,19.077032
-200.0,200,19.153814
-200.0,200,19.230154
-200.0,200,19.306707
-200.0,200,19.383806
-200.0,200,19.460202
-200.0,200,19.537178
-200.0,200,19.613597
-200.0,200,19.690383
-200.0,200,19.767777
-200.0,200,19.844562
-200.0,200,19.932512
-200.0,200,20.009815
-200.0,200,20.088038
-200.0,200,20.165532
-200.0,200,20.242434
-200.0,200,20.319609
-200.0,200,20.396328
-200.0,200,20.472814
-200.0,200,20.549524
-200.0,200,20.626161
-200.0,200,20.703183
-200.0,200,20.779464
-200.0,200,20.855955
-200.0,200,20.932864
-200.0,200,21.009382
-200.0,200,21.085969
-200.0,200,21.16259
-200.0,200,21.238992
-200.0,200,21.315325
-200.0,200,21.391996
-200.0,200,21.468609
-200.0,200,21.54527
-200.0,200,21.622003
-200.0,200,21.699783
-200.0,200,21.777034
-200.0,200,21.856885
-200.0,200,21.946068
-200.0,200,22.031607
-200.0,200,22.110217
-200.0,200,22.188658
-200.0,200,22.265653
-200.0,200,22.342236
-200.0,200,22.418503
-200.0,200,22.49515
-200.0,200,22.571382
-200.0,200,22.648279
-200.0,200,22.72483
-200.0,200,22.801403
-200.0,200,22.878071
-200.0,200,22.954712
-200.0,200,23.042128
-200.0,200,23.120772
-200.0,200,23.197789
-200.0,200,23.274796
-200.0,200,23.351092
-200.0,200,23.427853
-200.0,200,23.504596
-200.0,200,23.580946
-200.0,200,23.657596
-200.0,200,23.734373
-200.0,200,23.810838
-200.0,200,23.887364
-200.0,200,23.964795
-200.0,200,24.041488
-200.0,200,24.117781
-200.0,200,24.194544
-200.0,200,24.270858
-200.0,200,24.351917
-200.0,200,24.428874
-200.0,200,24.505063
-200.0,200,24.581587
-200.0,200,24.657816
-200.0,200,24.73415
-200.0,200,24.816127
-200.0,200,24.896713
-200.0,200,24.973517
-200.0,200,25.049762
-200.0,200,25.126108
-200.0,200,25.202748
-200.0,200,25.279019
-200.0,200,25.355571
-200.0,200,25.43421
-200.0,200,25.511544
-200.0,200,25.588086
-200.0,200,25.664585
-200.0,200,25.741289
-200.0,200,25.817543
-200.0,200,25.894189
-200.0,200,26.051627
-200.0,200,26.208485
-200.0,200,26.295255
-200.0,200,26.480743
-200.0,200,26.57275
-200.0,200,26.6928
-200.0,200,26.771637
-200.0,200,26.853467
-200.0,200,26.931299
-200.0,200,27.008847
-200.0,200,27.086095
-200.0,200,27.163082
-200.0,200,27.239471
-200.0,200,27.316024
-200.0,200,27.392407
-200.0,200,27.469254
-200.0,200,27.546662
-200.0,200,27.628345
-200.0,200,27.717339
-200.0,200,27.799064
-200.0,200,27.879219
-200.0,200,27.957942
-200.0,200,28.034843
-200.0,200,28.111611
-200.0,200,28.188109
-200.0,200,28.264769
-200.0,200,28.341403
-200.0,200,28.41777
-200.0,200,28.494196
-200.0,200,28.570237
-200.0,200,28.647564
-200.0,200,28.746052
-200.0,200,28.82305
-200.0,200,28.899329
-200.0,200,28.980087
-200.0,200,29.066582
-200.0,200,29.151768
-200.0,200,29.353652
-200.0,200,29.448615
-200.0,200,29.536015
-200.0,200,29.619476
-200.0,200,29.702382
-200.0,200,29.78275
-200.0,200,29.860386
-200.0,200,29.938376
-200.0,200,30.015319
-200.0,200,30.098073
-200.0,200,30.179617
-200.0,200,30.261072
-200.0,200,30.339347
-200.0,200,30.416683
-200.0,200,30.493354
-200.0,200,30.575648
-200.0,200,30.653507
-200.0,200,30.731354
-200.0,200,30.809337
-200.0,200,30.886218
-200.0,200,30.963159
-200.0,200,31.039594
-200.0,200,31.116171
-200.0,200,31.196236
-200.0,200,31.273499
-200.0,200,31.350299
-200.0,200,31.426886
-200.0,200,31.504699
-200.0,200,31.584381
-200.0,200,31.662138
-200.0,200,31.73921
-200.0,200,31.815718
-200.0,200,31.892125
-200.0,200,31.968715
-200.0,200,32.045013
-200.0,200,32.121678
-200.0,200,32.198129
-200.0,200,32.274622
-200.0,200,32.351124
-200.0,200,32.42746
-200.0,200,32.50401
-200.0,200,32.580363
-200.0,200,32.656915
-200.0,200,32.733533
-200.0,200,32.809777
-200.0,200,32.890213
-200.0,200,32.967712
-200.0,200,33.044434
-200.0,200,33.121475
-200.0,200,33.198172
-200.0,200,33.275304
-200.0,200,33.352185
-200.0,200,33.428896
-200.0,200,33.522465
-200.0,200,33.599921
-200.0,200,33.677081
-200.0,200,33.754112
-200.0,200,33.84336
-200.0,200,33.954292
-200.0,200,34.032182
-200.0,200,34.109657
-200.0,200,34.186642
-200.0,200,34.263632
-200.0,200,34.34079
-200.0,200,34.417453
-200.0,200,34.494538
-200.0,200,34.571476
-200.0,200,34.647961
-200.0,200,34.725065
-200.0,200,34.801993
-200.0,200,34.878659
-200.0,200,34.956223
-200.0,200,35.03926
-200.0,200,35.116735
-200.0,200,35.193581
-200.0,200,35.270981
-200.0,200,35.347855
-200.0,200,35.424473
-200.0,200,35.501475
-200.0,200,35.578266
-200.0,200,35.655477
-200.0,200,35.732257
-200.0,200,35.808771
-196.0,196,35.884125
-200.0,200,35.960873
-200.0,200,36.037588
-200.0,200,36.114131
-200.0,200,36.190827
-200.0,200,36.2676
-200.0,200,36.344093
-200.0,200,36.420553
-200.0,200,36.497214
-200.0,200,36.577567
-200.0,200,36.665455
-197.0,197,36.744419
-156.0,156,36.806193
-200.0,200,36.884475
-200.0,200,36.961378
-200.0,200,37.038292
-200.0,200,37.115863
-200.0,200,37.19307
-200.0,200,37.26956
-200.0,200,37.345944
-200.0,200,37.422603
-200.0,200,37.49932
-200.0,200,37.576671
-200.0,200,37.653093
-200.0,200,37.729605
-200.0,200,37.806052
-200.0,200,37.882349
-200.0,200,37.959109
-200.0,200,38.036554
-200.0,200,38.112909
-200.0,200,38.189484
-200.0,200,38.269791
-200.0,200,38.346897
-200.0,200,38.423359
-200.0,200,38.499863
-200.0,200,38.576194
-200.0,200,38.652454
-200.0,200,38.729774
-200.0,200,38.811774
-200.0,200,38.918183
-200.0,200,39.022412
-200.0,200,39.103188
-200.0,200,39.182746
-200.0,200,39.261135
-200.0,200,39.338211
-200.0,200,39.415004
-200.0,200,39.491645
-200.0,200,39.568424
-200.0,200,39.645026
-200.0,200,39.721314
-200.0,200,39.799617
-200.0,200,39.878034
-200.0,200,39.955019
-200.0,200,40.032703
-200.0,200,40.109347
-200.0,200,40.18626
-200.0,200,40.262921
-200.0,200,40.339732
-200.0,200,40.416298
-200.0,200,40.492954
-200.0,200,40.569762
-200.0,200,40.646342
-200.0,200,40.723176
-200.0,200,40.799627
-200.0,200,40.876279
-200.0,200,40.953045
-200.0,200,41.029765
-200.0,200,41.106652
-200.0,200,41.183483
-200.0,200,41.260238
-200.0,200,41.337641
-200.0,200,41.415946
-200.0,200,41.493359
-200.0,200,41.570586
-200.0,200,41.647494
-200.0,200,41.7249
-200.0,200,41.801559
-200.0,200,41.878193
-200.0,200,41.954935
-200.0,200,42.031593
-200.0,200,42.108141
-200.0,200,42.184549
-200.0,200,42.265454
-200.0,200,42.34703
-200.0,200,42.428124
-200.0,200,42.507514
-200.0,200,42.587407
-200.0,200,42.667213
-200.0,200,42.746595
-200.0,200,42.851677
-200.0,200,42.957112
-200.0,200,43.037328
-200.0,200,43.116284
-200.0,200,43.201
-200.0,200,43.291505
-200.0,200,43.370761
-200.0,200,43.450947
-200.0,200,43.532378
-200.0,200,43.610395
-200.0,200,43.686944
-200.0,200,43.763698
-200.0,200,43.840205
-200.0,200,43.921826
-200.0,200,43.998988
-200.0,200,44.075474
-200.0,200,44.152243
-200.0,200,44.228895
-200.0,200,44.305666
-200.0,200,44.382185
-200.0,200,44.458884
-200.0,200,44.537339
-200.0,200,44.614843
-200.0,200,44.692103
-200.0,200,44.768835
-200.0,200,44.845687
-200.0,200,44.922642
-200.0,200,44.999384
-200.0,200,45.076093
-200.0,200,45.152488
-200.0,200,45.229136
-200.0,200,45.306141
-200.0,200,45.382589
-200.0,200,45.459209
-200.0,200,45.536306
-200.0,200,45.613601
-200.0,200,45.691523
-200.0,200,45.769028
-200.0,200,45.847644
-200.0,200,45.924949
-200.0,200,46.002075
-200.0,200,46.079916
-200.0,200,46.159529
-200.0,200,46.245292
-200.0,200,46.323317
-200.0,200,46.401415
-200.0,200,46.47832
-200.0,200,46.557626
-200.0,200,46.634606
-200.0,200,46.711526
-200.0,200,46.788148
-200.0,200,46.864858
-200.0,200,46.94146
-200.0,200,47.017959
-200.0,200,47.094547
-200.0,200,47.191354
-200.0,200,47.300184
-200.0,200,47.377815
-200.0,200,47.456191
-200.0,200,47.532839
-200.0,200,47.609598
-200.0,200,47.686051
-200.0,200,47.764016
-175.0,175,47.830898
-200.0,200,47.907324
-200.0,200,47.983352
-200.0,200,48.059506
-165.0,165,48.125407
-200.0,200,48.215897
-200.0,200,48.350054
-200.0,200,48.435553
-200.0,200,48.520529
-200.0,200,48.605487
-200.0,200,48.718506
-200.0,200,48.795888
-200.0,200,48.873724
-200.0,200,48.950225
-200.0,200,49.026499
-200.0,200,49.102972
-200.0,200,49.179359
-200.0,200,49.255376
-200.0,200,49.331862
-181.0,181,49.400797
-200.0,200,49.476962
-200.0,200,49.553283
-200.0,200,49.629409
-200.0,200,49.705848
-200.0,200,49.781622
-200.0,200,49.857904
-200.0,200,49.93572
-200.0,200,50.011917
-200.0,200,50.088133
-200.0,200,50.164419
-200.0,200,50.240699
-200.0,200,50.316929
-200.0,200,50.393039
-200.0,200,50.46952
-200.0,200,50.545944
-200.0,200,50.622342
-200.0,200,50.699112
-200.0,200,50.775634
-200.0,200,50.852309
-200.0,200,50.931974
-200.0,200,51.009125
-200.0,200,51.085996
